Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.620,6,0,4,29.875,29.375,32.469,33.969,38.569,80.862,1,1,0,,28.255,27.755,28.255,27.755,79.242,HC 
2,3.050,2,4,2,5.839,5.339,8.433,9.933,14.533,25.564,1,1,0,,2.789,2.289,2.789,2.289,22.514,
3,3.090,7,0,4,15.892,15.392,18.486,19.986,24.586,80.862,1,1,0,,12.802,12.302,12.802,12.302,77.772,
4,5.150,1,8,1,5.150,5.150,5.150,6.650,11.250,27.602,1,1,0,,0.000,0.000,0.000,0.000,22.452,
5,7.060,3,1,2,74.497,73.152,77.071,78.571,83.171,106.537,1,1,0,,67.437,66.092,67.437,66.092,99.477,C 
6,8.560,0,2,0,8.560,8.560,8.560,10.060,14.660,25.691,1,1,0,,0.000,0.000,0.000,0.000,17.131,
7,11.220,0,4,0,11.220,11.220,8.560,10.060,14.660,47.631,0,0,0,,,,0.000,0.000,36.411,
8,11.800,3,8,3,16.257,14.912,18.831,20.331,24.931,63.576,1,1,0,,4.457,3.112,4.457,3.112,51.776,
9,12.350,6,5,2,35.121,33.776,37.695,39.195,43.795,53.178,0,1,0,,22.771,21.426,22.771,21.426,40.828,C D CD 
10,12.590,6,0,2,35.121,33.776,37.695,39.195,43.795,120.520,0,0,0,,,,22.531,21.186,107.930,C D CD 
11,16.020,8,0,5,16.020,16.020,16.020,17.520,22.120,39.472,1,1,0,,0.000,0.000,0.000,0.000,23.452,
12,23.520,5,0,2,49.084,48.584,51.678,53.178,59.778,120.520,1,1,0,,25.564,25.064,25.564,25.064,97.000,C 
13,27.290,3,0,1,78.415,75.902,80.989,82.489,87.089,99.387,0,1,0,,51.125,48.612,51.125,48.612,72.097,C D HC CD 
14,27.930,5,6,3,31.389,30.543,34.462,35.962,40.562,49.945,1,1,0,,3.459,2.613,3.459,2.613,22.015,
15,28.790,6,1,2,35.121,33.776,37.695,39.195,43.795,106.537,0,0,0,,,,6.331,4.986,77.747,C D CD 
16,30.500,2,4,0,30.500,30.500,30.500,32.000,36.600,47.631,1,1,0,,0.000,0.000,0.000,0.000,17.131,
17,37.420,4,0,4,45.527,44.182,48.100,49.600,54.200,80.862,1,1,0,,8.107,6.762,8.107,6.762,43.442,C 
18,38.130,3,7,1,40.480,38.225,43.054,44.554,49.154,62.522,1,1,0,,2.350,0.095,2.350,0.095,24.392,
19,41.270,1,9,5,47.361,46.861,49.955,51.455,56.055,87.038,1,1,0,,6.091,5.591,6.091,5.591,45.768,
20,41.640,8,3,0,74.971,74.471,77.566,79.066,83.666,109.595,1,1,0,,33.331,32.831,33.331,32.831,67.955,C D CD 
21,44.060,1,0,3,78.454,76.199,81.028,82.528,87.128,96.511,1,1,0,,34.394,32.139,34.394,32.139,52.451,C 
22,46.510,3,0,1,78.415,75.902,80.989,82.489,87.089,99.387,0,0,0,,,,31.905,29.392,52.877,C D HC CD 
23,47.560,0,8,4,76.788,75.444,79.362,80.862,87.462,130.289,1,1,0,,29.228,27.884,29.228,27.884,82.729,
24,47.750,0,2,4,76.788,75.444,79.362,80.862,87.462,98.493,0,0,0,,,,29.038,27.694,50.743,
25,47.950,7,0,1,58.448,55.935,61.022,62.522,69.122,99.387,1,1,0,,10.498,7.985,10.498,7.985,51.437,
26,49.290,7,0,1,58.448,55.935,61.022,62.522,69.122,99.387,0,0,0,,,,9.158,6.645,50.097,
27,51.170,3,9,5,63.012,61.668,65.586,67.086,71.686,87.038,1,1,0,,11.842,10.498,11.842,10.498,35.868,
28,54.730,9,6,0,59.510,58.754,63.583,65.083,69.683,94.697,1,1,0,,4.780,4.024,4.780,4.024,39.967,
29,55.530,2,0,4,61.157,59.813,63.731,65.231,69.831,80.862,1,1,0,,5.627,4.283,5.627,4.283,25.332,
30,60.030,2,0,4,61.157,60.030,63.731,65.231,69.831,80.862,0,0,0,,,,1.127,0.000,20.832,
31,60.800,2,5,0,117.484,116.984,120.078,121.578,126.178,167.528,1,1,0,,56.684,56.184,56.684,56.184,106.728,C D CD 
32,61.440,5,0,2,61.440,61.440,61.440,62.940,67.540,120.520,1,1,0,,0.000,0.000,0.000,0.000,59.080,
33,66.260,5,9,0,163.433,162.933,166.028,167.528,174.128,215.125,1,1,0,,97.173,96.673,97.173,96.673,148.865,C D CD 
34,69.710,4,5,0,147.450,146.950,150.045,151.545,158.145,167.528,1,1,0,,77.740,77.240,77.740,77.240,97.818,C 
35,69.770,1,0,3,78.454,76.199,81.028,82.528,87.128,96.511,0,0,0,,,,8.684,6.429,26.741,
36,70.310,1,0,3,78.454,76.199,81.028,82.528,87.128,96.511,0,0,0,,,,8.144,5.889,26.201,
37,72.170,2,7,0,117.484,116.984,120.078,121.578,126.178,197.494,0,0,0,,,,45.314,44.814,125.324,C D CD 
38,73.000,3,0,2,74.497,73.152,77.071,78.571,83.171,120.520,0,0,0,,,,1.497,0.152,47.520,
39,75.910,1,0,3,78.454,76.199,81.028,82.528,87.128,96.511,0,0,0,,,,2.544,0.289,20.601,
40,75.960,2,1,2,88.459,87.959,91.054,92.554,97.154,106.537,1,1,0,,12.499,11.999,12.499,11.999,30.577,
41,86.840,6,0,5,135.452,134.952,138.046,139.546,144.146,184.059,1,1,0,,48.612,48.112,48.612,48.112,97.219,C D CD 
42,88.700,8,0,5,101.709,101.209,104.303,105.803,110.403,184.059,1,1,0,,13.009,12.509,13.009,12.509,95.359,
43,89.280,5,8,4,109.317,107.339,111.891,113.391,117.991,130.289,0,1,0,,20.037,18.059,20.037,18.059,41.009,
44,90.320,9,7,5,90.320,90.320,90.320,91.820,96.420,127.563,1,1,0,,0.000,0.000,0.000,0.000,37.243,
45,90.410,7,0,4,160.797,159.452,163.371,164.871,169.471,199.454,1,1,0,,70.387,69.042,70.387,69.042,109.044,C D CD 
46,91.770,3,2,1,111.712,109.734,114.286,115.786,120.386,129.769,1,1,0,,19.942,17.964,19.942,17.964,37.999,C D CD 
47,93.180,4,1,3,109.905,107.392,112.479,113.979,118.579,130.877,1,1,0,,16.725,14.212,16.725,14.212,37.697,
48,93.510,8,5,5,101.709,101.209,104.303,105.803,110.403,153.529,0,0,0,,,,8.199,7.699,60.019,
49,96.190,1,0,3,126.803,124.825,129.377,130.877,137.477,146.860,1,1,0,,30.613,28.635,30.613,28.635,50.670,C D CD 
50,96.550,6,0,5,135.452,134.952,138.046,139.546,144.146,184.059,0,0,0,,,,38.902,38.402,87.509,C D CD 
51,98.960,2,0,1,125.674,125.174,128.269,129.769,136.369,275.467,1,1,0,,26.714,26.214,26.714,26.214,176.507,C 
