Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.790,0,4,0,1.790,1.790,1.790,3.290,7.890,21.256,1,1,0,,0.000,0.000,0.000,0.000,19.466,
2,3.490,0,5,0,3.490,3.490,1.790,3.290,7.890,33.237,0,0,0,,,,0.000,0.000,29.747,
3,21.490,0,8,1,24.206,23.706,26.871,28.371,34.471,86.765,1,1,0,,2.716,2.216,2.716,2.216,65.275,
4,22.660,0,8,1,24.206,23.706,26.871,28.371,34.471,86.765,0,0,0,,,,1.546,1.046,64.105,
5,23.630,0,8,1,24.206,23.706,26.871,28.371,34.471,86.765,0,0,0,,,,0.576,0.076,63.135,
6,23.680,0,1,1,24.206,23.706,26.871,28.371,34.471,43.852,0,0,0,,,,0.526,0.026,20.172,
7,27.170,0,8,1,27.170,27.170,26.871,28.371,34.471,86.765,0,0,0,,,,0.000,0.000,59.595,
8,29.350,0,8,1,29.350,29.350,26.871,28.371,34.471,86.765,0,0,0,,,,0.000,0.000,57.415,
9,29.480,0,6,1,29.480,29.480,26.871,28.371,34.471,62.802,0,0,0,,,,0.000,0.000,33.322,
10,33.490,0,7,1,33.490,33.490,26.871,28.371,34.471,74.783,0,0,0,,,,0.000,0.000,41.293,
11,36.420,0,3,2,42.071,40.093,44.716,46.216,51.316,74.326,1,1,0,,5.651,3.673,5.651,3.673,37.906,
12,40.780,0,8,2,42.071,40.780,44.716,46.216,51.316,113.565,0,0,0,,,,1.291,0.000,72.785,
13,42.730,0,5,2,42.730,42.730,44.716,46.216,51.316,87.955,0,0,0,,,,0.000,0.000,45.225,
14,45.970,0,2,2,45.970,45.970,44.716,46.216,51.316,62.345,0,0,0,,,,0.000,0.000,16.375,
15,47.620,0,8,2,47.620,47.620,44.716,46.216,51.316,113.565,0,0,0,,,,0.000,0.000,65.945,
16,48.850,0,7,2,48.850,48.850,44.716,46.216,51.316,101.584,0,0,0,,,,0.000,0.000,52.734,
17,56.770,0,2,4,66.475,64.220,69.120,70.620,78.720,102.082,1,1,0,,9.705,7.450,9.705,7.450,45.312,
18,60.950,0,1,4,66.475,64.220,69.120,70.620,78.720,88.101,0,0,0,,,,5.525,3.270,27.151,
19,63.450,0,5,4,66.475,64.220,69.120,70.620,78.720,139.526,0,0,0,,,,3.025,0.770,76.076,
20,65.300,0,4,4,66.475,65.300,69.120,70.620,78.720,126.545,0,0,0,,,,1.175,0.000,61.245,
21,68.720,0,4,4,68.720,68.720,69.120,70.620,78.720,126.545,0,0,0,,,,0.000,0.000,57.825,
22,68.870,0,7,4,68.870,68.870,69.120,70.620,78.720,153.155,0,0,0,,,,0.000,0.000,84.285,
23,70.270,0,9,4,70.270,70.270,69.120,70.620,78.720,177.117,0,0,0,,,,0.000,0.000,106.847,
