Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,4.160,0,7,6,4.160,4.160,4.160,5.660,10.260,33.240,1,1,0,,0.000,0.000,0.000,0.000,29.080,
2,7.880,0,4,2,13.531,11.553,16.176,17.676,22.276,46.934,0,1,0,,5.651,3.673,5.651,3.673,39.054,C D CD 
3,9.620,0,2,2,13.531,11.553,16.176,17.676,22.276,33.305,0,0,0,,,,3.911,1.933,23.685,C D CD 
4,10.790,0,7,6,10.790,10.790,10.790,12.290,16.890,33.240,0,1,0,,0.000,0.000,0.000,0.000,22.450,
5,12.480,0,5,4,22.185,19.930,24.830,26.330,30.930,64.705,0,1,0,,9.705,7.450,9.705,7.450,52.225,C D CD 
6,15.230,0,9,2,15.230,15.230,16.176,17.676,22.276,63.884,0,0,0,,,,0.000,0.000,48.654,C D CD 
7,15.330,0,5,4,22.185,19.930,24.830,26.330,30.930,64.705,0,0,0,,,,6.855,4.600,49.375,C D CD 
8,15.470,0,3,1,25.235,23.891,27.880,29.380,33.980,46.276,0,1,0,,9.765,8.421,9.765,8.421,30.806,D 
9,15.800,0,6,4,22.185,19.930,24.830,26.330,30.930,77.686,0,0,0,,,,6.385,4.130,61.886,C D CD 
10,15.900,0,3,1,25.235,23.891,27.880,29.380,33.980,46.276,0,0,0,,,,9.335,7.991,30.376,D 
11,28.990,0,3,6,48.545,46.290,51.190,52.690,57.290,69.586,0,1,0,,19.555,17.300,19.555,17.300,40.596,C D CD 
12,30.400,0,7,6,48.545,46.290,51.190,52.690,57.290,97.344,0,0,0,,,,18.145,15.890,66.944,C D CD 
13,32.680,0,3,4,32.680,32.680,32.680,34.180,38.780,51.076,0,1,0,,0.000,0.000,0.000,0.000,18.396,D 
14,33.220,0,5,4,33.220,33.220,32.680,34.180,38.780,64.705,0,0,0,,,,0.000,0.000,31.485,D 
15,34.350,0,6,0,40.146,39.646,42.811,44.311,48.911,68.642,0,1,0,,5.796,5.296,5.796,5.296,34.292,C D CD 
16,38.040,0,8,0,40.146,39.646,42.811,44.311,48.911,92.605,0,0,0,,,,2.106,1.606,54.565,C D CD 
17,38.870,0,3,6,48.545,46.290,51.190,52.690,57.290,69.586,0,0,0,,,,9.675,7.420,30.716,C D CD 
18,40.770,0,7,0,40.770,40.770,42.811,44.311,48.911,80.623,0,0,0,,,,0.000,0.000,39.853,
19,47.300,0,5,6,48.545,47.300,51.190,52.690,57.290,83.715,0,0,0,,,,1.245,0.000,36.415,C D CD 
20,52.670,0,6,2,80.689,78.434,83.334,84.834,89.934,116.765,0,1,0,,28.019,25.764,28.019,25.764,64.095,C D CD 
21,56.630,0,5,2,80.689,78.434,83.334,84.834,89.934,104.284,0,0,0,,,,24.059,21.804,47.654,C D CD 
22,57.080,0,6,2,80.689,78.434,83.334,84.834,89.934,116.765,0,0,0,,,,23.609,21.354,59.685,C D CD 
23,58.510,0,8,4,91.491,89.236,94.136,95.636,100.236,141.058,0,1,0,,32.981,30.726,32.981,30.726,82.548,C D CD 
24,63.250,0,2,0,108.410,106.155,111.055,112.555,117.155,134.649,0,1,0,,45.160,42.905,45.160,42.905,71.399,C D CD 
25,64.500,0,3,6,112.149,109.894,114.794,116.294,120.894,133.190,0,1,0,,47.649,45.394,47.649,45.394,68.690,C D CD 
26,64.650,0,7,0,108.410,106.155,111.055,112.555,117.155,152.099,0,0,0,,,,43.760,41.505,87.449,C D CD 
