Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,8.840,1,9,4,8.840,8.840,8.840,10.340,14.940,32.290,1,1,0,,0.000,0.000,0.000,0.000,23.450,
2,71.690,8,6,4,74.406,73.906,77.071,78.571,83.171,94.200,1,1,0,,2.716,2.216,2.716,2.216,22.510,
3,84.080,6,2,4,90.055,88.711,92.700,94.200,100.800,114.166,1,1,0,,5.975,4.631,5.975,4.631,30.086,
4,90.560,6,1,4,90.560,90.560,92.700,94.200,100.800,126.147,0,0,0,,,,0.000,0.000,35.587,
5,91.820,9,8,5,94.536,94.036,97.201,98.701,103.301,112.682,1,1,0,,2.716,2.216,2.716,2.216,20.862,
6,97.040,9,8,5,97.040,97.040,97.201,98.701,103.301,112.682,0,0,0,,,,0.000,0.000,15.642,
7,118.790,9,7,5,121.506,121.006,124.171,125.671,130.271,151.633,1,1,0,,2.716,2.216,2.716,2.216,32.843,
8,129.620,9,8,5,129.620,129.620,124.171,125.671,130.271,139.652,0,0,0,,,,0.000,0.000,10.032,
9,136.150,1,8,4,136.150,136.150,136.150,137.650,142.250,177.479,1,1,0,,0.000,0.000,0.000,0.000,41.329,
10,143.400,1,8,4,143.400,143.400,143.400,144.900,149.500,177.479,1,1,0,,0.000,0.000,0.000,0.000,34.079,
11,147.800,1,6,4,147.800,147.800,143.400,144.900,149.500,163.850,0,0,0,,,,0.000,0.000,16.050,
12,178.950,5,7,4,188.730,186.752,191.375,192.875,197.475,208.504,1,1,0,,9.780,7.802,9.780,7.802,29.554,
13,185.390,9,0,5,185.390,185.390,185.390,186.890,191.490,229.404,1,1,0,,0.000,0.000,0.000,0.000,44.014,
14,187.790,8,0,5,196.706,196.206,199.371,200.871,205.471,229.404,1,1,0,,8.916,8.416,8.916,8.416,41.614,
15,217.650,1,2,4,252.057,251.557,254.722,256.222,260.822,270.203,1,1,0,,34.407,33.907,34.407,33.907,52.553,
16,234.540,0,7,5,234.540,234.540,234.540,236.040,240.640,270.619,1,1,0,,0.000,0.000,0.000,0.000,36.079,
17,243.960,2,8,5,246.704,246.179,250.169,251.669,256.269,283.100,1,1,0,,2.744,2.219,2.744,2.219,39.140,
18,248.460,2,7,5,248.460,248.460,250.169,251.669,256.269,270.619,0,0,0,,,,0.000,0.000,22.159,
19,267.710,7,0,4,281.143,280.753,285.653,287.153,291.753,308.103,1,1,0,,13.433,13.043,13.433,13.043,40.393,NULL H 
20,286.500,6,7,5,299.588,298.243,302.232,303.732,308.332,317.713,1,1,0,,13.088,11.743,13.088,11.743,31.213,
21,319.340,0,5,4,319.340,319.340,319.340,320.840,325.440,363.698,1,1,0,,0.000,0.000,0.000,0.000,44.358,
22,328.170,1,4,4,330.426,330.156,333.321,334.821,339.421,351.717,1,1,0,,2.256,1.986,2.256,1.986,23.547,
23,368.300,1,6,4,375.519,373.006,378.164,379.664,384.264,398.614,1,1,0,,7.219,4.706,7.219,4.706,30.314,
24,400.400,0,7,4,412.419,410.164,415.064,416.564,421.164,437.514,1,1,0,,12.019,9.764,12.019,9.764,37.114,
25,438.420,9,8,5,441.136,440.636,443.801,445.301,449.901,459.282,1,1,0,,2.716,2.216,2.716,2.216,20.862,
26,439.050,5,2,4,446.998,445.654,449.643,451.143,455.743,468.039,1,1,0,,7.948,6.604,7.948,6.604,28.989,
27,442.680,7,6,5,467.098,466.598,469.763,471.263,475.863,485.245,1,1,0,,24.418,23.918,24.418,23.918,42.565,
28,486.680,6,7,5,486.680,486.680,483.745,485.245,491.845,507.461,1,1,0,,0.000,0.000,0.000,0.000,20.781,
29,491.980,6,7,5,491.980,491.980,491.980,493.480,498.080,507.461,1,1,0,,0.000,0.000,0.000,0.000,15.481,
30,516.100,8,5,5,518.816,518.316,521.481,522.981,527.581,539.877,1,1,0,,2.716,2.216,2.716,2.216,23.777,
31,531.010,4,1,4,535.394,534.049,538.039,539.539,544.139,556.435,1,1,0,,4.384,3.039,4.384,3.039,25.425,
32,554.460,6,0,5,557.176,556.676,559.841,561.341,565.941,586.534,1,1,0,,2.716,2.216,2.716,2.216,32.074,
33,555.320,1,2,4,0.000,0.000,-92559631349317831000000000000000000000000000000000000000000000.000,-92559631349317831000000000000000000000000000000000000000000000.000,-92559631349317831000000000000000000000000000000000000000000000.000,0.000,1,1,0,,-555.320,-555.320,-555.320,-555.320,-555.320,H D HC HD 
34,594.350,1,3,5,597.066,596.566,599.731,601.231,605.831,616.860,0,1,0,,2.716,2.216,2.716,2.216,22.510,
35,657.440,9,6,5,666.145,663.890,668.790,670.290,674.890,687.186,1,1,0,,8.705,6.450,8.705,6.450,29.746,
36,664.590,9,0,5,666.145,664.590,668.790,670.290,674.890,705.136,0,0,0,,,,1.555,0.000,40.546,
37,716.930,0,8,5,716.930,716.930,716.930,718.430,723.030,740.380,1,1,0,,0.000,0.000,0.000,0.000,23.450,
38,745.650,9,0,5,748.366,747.866,751.031,752.531,757.131,775.481,1,1,0,,2.716,2.216,2.716,2.216,29.831,
39,781.430,1,9,5,785.297,784.797,787.962,789.462,794.062,823.041,0,1,0,,3.867,3.367,3.867,3.367,41.611,
40,791.670,1,7,5,791.670,791.670,787.962,789.462,794.062,809.412,0,0,0,,,,0.000,0.000,17.742,
41,836.090,3,7,4,842.811,840.298,845.456,846.956,851.556,864.921,1,1,0,,6.721,4.208,6.721,4.208,28.831,
42,844.680,9,3,5,844.680,844.680,844.680,846.180,850.780,882.821,1,1,0,,0.000,0.000,0.000,0.000,38.141,
43,885.440,2,8,4,885.440,885.440,885.440,886.940,891.540,906.890,1,1,0,,0.000,0.000,0.000,0.000,21.450,
