Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,2.830,7,8,1,2.830,2.830,2.830,4.330,8.930,18.311,1,1,0,,0.000,0.000,0.000,0.000,15.481,
2,8.840,1,9,4,8.840,8.840,8.840,10.340,14.940,45.919,1,1,0,,0.000,0.000,0.000,0.000,37.079,
3,15.490,7,9,4,26.145,23.890,28.790,30.290,34.890,45.919,1,1,0,,10.655,8.400,10.655,8.400,30.429,
4,22.550,1,3,0,25.266,24.766,27.931,29.431,34.031,45.060,1,1,0,,2.716,2.216,2.716,2.216,22.510,
5,24.310,4,1,2,27.026,26.526,29.691,31.191,35.791,48.087,1,1,0,,2.716,2.216,2.716,2.216,23.777,
6,46.780,0,7,2,57.903,57.403,60.568,62.068,66.668,83.018,1,1,0,,11.123,10.623,11.123,10.623,36.238,
7,56.880,2,1,0,59.596,59.096,62.261,63.761,68.361,77.742,1,1,0,,2.716,2.216,2.716,2.216,20.862,
8,57.510,4,0,3,61.894,60.549,64.539,66.039,70.639,84.005,1,1,0,,4.384,3.039,4.384,3.039,26.495,
9,65.750,6,0,5,71.401,69.423,74.046,75.546,80.146,95.496,1,1,0,,5.651,3.673,5.651,3.673,29.746,
10,66.990,9,4,4,66.990,66.990,66.990,68.490,73.090,87.440,1,1,0,,0.000,0.000,0.000,0.000,20.450,
11,70.310,4,0,3,70.310,70.310,64.539,66.039,70.639,84.005,0,0,0,,,,0.000,0.000,13.695,
12,71.030,8,3,1,71.030,71.030,71.030,72.530,77.130,107.055,1,1,0,,0.000,0.000,0.000,0.000,36.025,
13,71.690,8,6,1,71.690,71.690,71.030,72.530,77.130,88.159,0,0,0,,,,0.000,0.000,16.469,
14,84.080,6,2,1,84.080,84.080,86.659,88.159,94.759,119.036,1,1,0,,0.000,0.000,0.000,0.000,34.956,
15,90.560,6,1,1,90.560,90.560,86.659,88.159,94.759,131.017,0,0,0,,,,0.000,0.000,40.457,
16,91.820,9,8,2,96.204,94.859,98.849,100.349,104.949,114.330,1,1,0,,4.384,3.039,4.384,3.039,22.510,
17,97.040,9,8,2,97.040,97.040,98.849,100.349,104.949,114.330,0,0,0,,,,0.000,0.000,17.290,
18,97.920,2,0,0,100.636,100.136,103.301,104.801,109.401,120.430,1,1,0,,2.716,2.216,2.716,2.216,22.510,
19,102.200,2,8,5,106.584,105.239,109.229,110.729,115.329,130.679,1,1,0,,4.384,3.039,4.384,3.039,28.479,C 
20,117.890,5,0,4,120.606,120.106,123.271,124.771,129.371,157.296,1,1,0,,2.716,2.216,2.716,2.216,39.406,
21,118.790,9,7,2,122.646,122.146,125.311,126.811,131.411,152.773,1,1,0,,3.856,3.356,3.856,3.356,33.983,
22,119.530,0,3,3,119.530,119.530,119.530,121.030,125.630,137.926,1,1,0,,0.000,0.000,0.000,0.000,18.396,C 
23,127.970,2,0,4,137.523,135.544,140.167,141.667,146.267,157.296,1,1,0,,9.553,7.574,9.553,7.574,29.326,
24,129.620,9,8,2,129.620,129.620,125.311,126.811,131.411,140.792,0,0,0,,,,0.000,0.000,11.172,
25,135.580,0,8,0,135.580,135.580,135.580,137.080,141.680,183.640,1,1,0,,0.000,0.000,0.000,0.000,48.060,
26,136.150,1,8,1,136.150,136.150,136.150,137.650,142.250,158.600,1,1,0,,0.000,0.000,0.000,0.000,22.450,
27,143.400,1,8,0,146.896,146.396,149.561,151.061,155.661,183.640,1,1,0,,3.496,2.996,3.496,2.996,40.240,
28,146.310,0,9,4,153.151,151.807,155.796,157.296,163.896,182.246,1,1,0,,6.841,5.497,6.841,5.497,35.936,
29,147.800,1,6,0,147.800,147.800,149.561,151.061,155.661,170.011,0,0,0,,,,0.000,0.000,22.211,
30,148.160,5,0,5,153.811,151.833,156.456,157.956,162.556,176.906,1,1,0,,5.651,3.673,5.651,3.673,28.746,
31,156.180,3,9,3,156.180,156.180,156.180,157.680,162.280,177.630,1,1,0,,0.000,0.000,0.000,0.000,21.450,
32,166.150,5,2,2,170.534,169.189,173.179,174.679,179.279,191.575,1,1,0,,4.384,3.039,4.384,3.039,25.425,
33,173.850,0,3,5,173.850,173.850,175.406,176.906,183.506,195.802,1,1,0,,0.000,0.000,0.000,0.000,21.952,
34,178.950,5,7,4,228.977,228.477,231.643,233.143,239.743,261.605,1,1,0,,50.027,49.527,50.027,49.527,82.655,C 
35,180.870,5,6,4,228.977,228.477,231.643,233.143,239.743,249.124,0,0,0,,,,48.107,47.607,68.254,C 
36,183.120,6,2,3,188.771,186.793,191.416,192.916,197.516,234.507,1,1,0,,5.651,3.673,5.651,3.673,51.387,
