Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,26.700,3,0,1,31.179,31.570,33.976,35.476,40.076,57.447,1,1,0,,4.479,4.870,4.479,4.870,30.747,
2,54.630,4,0,0,84.593,84.983,87.389,88.889,93.489,113.909,1,1,0,,29.963,30.353,29.963,30.353,59.279,
3,100.940,2,0,1,114.563,114.954,117.360,118.860,123.460,137.783,1,1,0,,13.623,14.014,13.623,14.014,36.843,
4,176.560,8,0,0,208.772,209.137,211.543,213.043,217.643,250.203,1,1,0,,32.212,32.577,32.212,32.577,73.643,
5,253.570,6,0,1,265.046,265.437,267.843,269.343,279.763,315.528,1,1,0,,11.476,11.867,11.476,11.867,61.958,
6,259.010,1,0,0,274.010,274.401,276.807,278.307,282.907,294.182,1,1,0,,15.000,15.391,15.000,15.391,35.172,
7,311.030,7,0,1,345.395,345.786,348.192,349.692,354.522,393.335,1,1,0,,34.365,34.756,34.365,34.756,82.305,
8,319.080,4,0,0,342.673,343.064,345.470,346.970,351.570,371.989,1,1,0,,23.593,23.984,23.593,23.984,52.909,
9,320.730,7,0,1,345.395,345.786,348.192,349.692,354.522,393.335,0,0,0,,,,24.665,25.056,72.605,
10,384.010,8,0,0,432.647,433.012,435.418,436.918,441.518,499.734,1,1,0,,48.637,49.002,48.637,49.002,115.724,
11,406.040,6,0,1,485.616,486.007,488.413,489.913,494.513,533.856,1,1,0,,79.576,79.967,79.576,79.967,127.816,H D HD 
12,423.620,6,0,0,451.494,451.885,454.290,455.790,460.390,499.734,0,1,0,,27.874,28.265,27.874,28.265,76.114,
13,425.050,7,0,1,469.766,470.131,472.537,474.037,478.637,533.856,1,1,0,,44.716,45.081,44.716,45.081,108.806,
14,439.380,2,0,0,476.514,476.904,479.310,480.810,485.410,499.734,1,1,0,,37.134,37.524,37.134,37.524,60.354,
15,467.480,5,0,1,501.492,501.883,504.288,505.788,510.388,533.856,1,1,0,,34.012,34.403,34.012,34.403,66.376,
16,503.770,4,0,0,585.995,586.386,588.792,590.292,594.892,615.311,1,1,0,,82.225,82.616,82.225,82.616,111.541,
17,565.950,2,0,1,613.437,613.828,616.233,617.733,622.333,636.657,1,1,0,,47.487,47.878,47.487,47.878,70.707,HC 
18,680.320,3,0,0,697.317,697.708,700.114,701.614,706.214,723.585,1,1,0,,16.997,17.388,16.997,17.388,43.265,
19,797.030,8,0,1,807.580,807.945,810.351,811.851,816.451,849.011,1,1,0,,10.550,10.915,10.550,10.915,51.981,
20,844.330,5,0,0,879.205,879.595,882.001,883.501,888.101,911.569,1,1,0,,34.875,35.265,34.875,35.265,67.239,
21,877.340,0,6,1,965.830,966.220,968.626,970.126,974.726,1001.242,1,1,0,,88.490,88.880,88.490,88.880,123.902,H D HD 
22,879.240,0,4,0,907.272,907.663,910.069,911.569,918.169,938.588,0,1,0,,28.032,28.423,28.032,28.423,59.348,
23,942.460,3,0,1,1016.917,1017.308,1019.713,1021.213,1025.813,1043.185,1,1,0,,74.457,74.848,74.457,74.848,100.725,
24,1077.270,0,1,0,1084.647,1085.514,1087.920,1089.420,1094.020,1105.295,1,1,0,,7.377,8.244,7.377,8.244,28.025,
25,1123.060,0,1,1,1136.057,1136.448,1138.854,1140.354,1144.954,1156.229,1,1,0,,12.997,13.388,12.997,13.388,33.169,
26,1164.420,6,0,0,1229.588,1229.979,1232.385,1233.885,1238.485,1265.000,1,1,0,,65.168,65.559,65.168,65.559,100.580,
27,1168.430,1,0,1,1176.175,1176.566,1178.971,1180.471,1185.071,1196.347,1,1,0,,7.745,8.136,7.745,8.136,27.917,
28,1183.810,1,0,0,1304.347,1304.738,1307.144,1308.644,1313.244,1324.519,0,1,0,,120.537,120.928,120.537,120.928,140.709,H D HD 
29,1237.460,0,3,1,1282.050,1282.440,1284.846,1286.346,1290.946,1308.318,1,1,0,,44.590,44.980,44.590,44.980,70.858,NULL H 
30,1255.090,0,5,0,1320.223,1320.614,1323.019,1324.519,1331.119,1354.587,0,1,0,,65.133,65.524,65.133,65.524,99.497,H D HC HD 
31,1301.950,2,0,1,1378.780,1379.171,1381.577,1383.077,1387.677,1402.000,1,1,0,,76.830,77.221,76.830,77.221,100.050,
32,1411.840,0,3,0,1419.217,1420.084,1422.490,1423.990,1428.590,1445.961,1,1,0,,7.377,8.244,7.377,8.244,34.121,
33,1513.960,1,0,1,1530.005,1530.396,1532.802,1534.302,1538.902,1550.177,1,1,0,,16.045,16.436,16.045,16.436,36.217,
34,1556.100,7,0,0,1586.467,1586.857,1589.263,1590.763,1595.363,1624.927,1,1,0,,30.367,30.757,30.367,30.757,68.827,
35,1654.150,4,0,1,1671.722,1672.113,1674.519,1676.019,1680.619,1701.038,1,1,0,,17.572,17.963,17.572,17.963,46.888,
36,1674.180,6,0,0,1734.280,1734.670,1737.076,1738.576,1743.176,1769.692,1,1,0,,60.100,60.490,60.100,60.490,95.512,
37,1735.620,7,0,1,1752.552,1752.917,1755.323,1756.823,1761.423,1795.214,1,1,0,,16.932,17.297,16.932,17.297,59.594,
38,1831.970,0,5,0,1839.347,1840.214,1842.620,1844.120,1848.720,1872.187,1,1,0,,7.377,8.244,7.377,8.244,40.217,
39,1866.580,1,0,1,1899.429,1899.819,1902.225,1903.725,1908.325,1919.601,1,1,0,,32.849,33.239,32.849,33.239,53.021,
40,1994.490,0,6,0,2001.867,2002.734,2005.140,2006.640,2011.240,2037.755,1,1,0,,7.377,8.244,7.377,8.244,43.265,
41,2016.030,0,1,1,2108.838,2109.229,2111.634,2113.134,2117.734,2129.010,1,1,0,,92.808,93.199,92.808,93.199,112.980,NULL H 
42,2036.210,8,0,0,2050.357,2050.722,2053.128,2054.628,2059.228,2091.789,1,1,0,,14.147,14.512,14.147,14.512,55.579,
