Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,26.700,3,0,1,31.179,31.570,33.976,35.476,40.076,57.447,1,1,0,,4.479,4.870,4.479,4.870,30.747,
2,54.630,4,0,1,78.171,78.561,80.967,82.467,87.067,107.487,1,1,0,,23.541,23.931,23.541,23.931,52.857,
3,100.940,2,0,0,128.536,128.927,131.332,132.832,137.432,151.756,1,1,0,,27.596,27.987,27.596,27.987,50.816,
4,176.560,8,0,1,190.158,190.523,192.929,194.429,199.029,231.589,1,1,0,,13.598,13.963,13.598,13.963,55.029,
5,253.570,6,0,1,273.289,273.680,276.086,277.586,282.377,313.120,1,1,0,,19.719,20.110,19.719,20.110,59.550,
6,259.010,1,0,0,267.489,267.880,270.286,271.786,276.386,287.661,1,1,0,,8.479,8.870,8.479,8.870,28.651,
7,311.030,7,0,1,342.477,343.378,345.784,347.284,353.247,389.015,1,1,0,,31.447,32.348,31.447,32.348,77.985,
8,319.080,4,0,0,338.353,338.744,341.150,342.650,347.250,367.669,1,1,0,,19.273,19.664,19.273,19.664,48.589,
9,320.730,7,0,1,342.477,343.378,345.784,347.284,353.247,389.015,0,0,0,,,,21.747,22.648,68.285,
10,384.010,8,0,1,421.905,422.270,424.676,426.176,430.776,505.140,1,1,0,,37.895,38.260,37.895,38.260,121.130,
11,406.040,6,0,1,453.580,453.970,456.376,457.876,465.797,505.140,1,1,0,,47.540,47.930,47.540,47.930,99.100,
12,423.620,6,0,1,453.580,453.970,456.376,457.876,465.797,505.140,0,0,0,,,,29.960,30.350,81.520,
13,425.050,7,0,1,437.729,438.095,440.500,442.000,446.600,505.140,1,1,0,,12.679,13.045,12.679,13.045,80.090,
14,439.380,2,0,0,450.907,451.298,453.704,455.204,459.804,474.127,1,1,0,,11.527,11.918,11.527,11.918,34.747,
15,467.480,5,0,1,472.776,473.167,475.573,477.073,481.673,505.140,1,1,0,,5.296,5.687,5.296,5.687,37.660,
16,503.770,4,0,1,525.864,526.254,528.660,530.160,534.760,555.180,1,1,0,,22.094,22.484,22.094,22.484,51.410,
17,565.950,2,0,1,573.477,573.868,576.274,577.774,582.374,596.697,1,1,0,,7.527,7.918,7.527,7.918,30.747,
18,680.320,3,0,1,690.895,691.286,693.692,695.192,699.792,717.163,1,1,0,,10.575,10.966,10.575,10.966,36.843,
19,797.030,8,0,1,822.820,823.185,825.591,827.091,831.691,864.251,1,1,0,,25.790,26.155,25.790,26.155,67.221,
20,844.330,5,0,0,950.191,950.582,952.988,954.488,959.088,982.555,1,1,0,,105.861,106.252,105.861,106.252,138.225,
21,877.340,0,6,1,891.950,892.341,894.747,896.247,900.847,938.190,1,1,0,,14.610,15.001,14.610,15.001,60.850,
22,879.240,0,4,1,891.950,892.341,894.747,896.247,900.847,921.266,0,0,0,,,,12.710,13.101,42.026,
23,942.460,3,0,1,977.633,978.024,980.429,981.929,986.529,1008.129,1,1,0,,35.173,35.564,35.173,35.564,65.669,
24,1077.270,0,1,1,1077.270,1077.270,1077.270,1078.770,1083.370,1094.646,1,1,0,,0.000,0.000,0.000,0.000,17.376,
25,1123.060,0,1,1,1127.539,1127.930,1130.336,1131.836,1136.436,1147.711,1,1,0,,4.479,4.870,4.479,4.870,24.651,
26,1164.420,6,0,1,1181.091,1181.482,1183.888,1185.388,1191.797,1222.540,1,1,0,,16.671,17.062,16.671,17.062,58.120,
27,1168.430,1,0,0,1176.909,1177.300,1179.706,1181.206,1185.806,1197.081,1,1,0,,8.479,8.870,8.479,8.870,28.651,
28,1183.810,1,0,0,1183.810,1183.810,1179.706,1181.206,1185.806,1197.081,0,0,0,,,,0.000,0.000,13.271,
29,1237.460,0,3,1,1237.460,1237.460,1237.460,1238.960,1243.560,1260.932,1,1,0,,0.000,0.000,0.000,0.000,23.472,
30,1255.090,0,5,0,1260.045,1260.912,1263.318,1264.818,1269.418,1292.885,1,1,0,,4.955,5.822,4.955,5.822,37.795,
31,1301.950,2,0,0,1312.525,1312.916,1315.322,1316.822,1321.422,1335.745,1,1,0,,10.575,10.966,10.575,10.966,33.795,
32,1411.840,0,3,0,1411.840,1411.840,1411.840,1413.340,1417.940,1435.312,1,1,0,,0.000,0.000,0.000,0.000,23.472,
33,1513.960,1,0,0,1521.487,1521.878,1524.284,1525.784,1530.384,1541.659,1,1,0,,7.527,7.918,7.527,7.918,27.699,
34,1556.100,7,0,1,1556.100,1556.100,1556.100,1557.600,1562.200,1617.419,1,1,0,,0.000,0.000,0.000,0.000,61.319,
35,1654.150,4,0,1,1654.150,1654.150,1590.899,1592.399,1596.999,1617.419,1,1,0,,0.000,0.000,0.000,0.000,-36.731,
36,1674.180,6,0,1,1674.180,1674.180,1571.976,1573.476,1578.076,1617.419,1,1,0,,0.000,0.000,0.000,0.000,-56.761,
37,1735.620,7,0,1,1735.620,1735.620,1556.100,1557.600,1562.200,1617.419,0,0,0,,,,0.000,0.000,-118.201,
38,1831.970,0,5,1,1831.970,1831.970,1831.970,1833.470,1838.070,1861.538,1,1,0,,0.000,0.000,0.000,0.000,29.568,
39,1866.580,1,0,1,1880.261,1880.652,1883.057,1884.557,1889.157,1900.433,1,1,0,,13.681,14.072,13.681,14.072,33.853,
40,1994.490,0,6,1,1994.490,1994.490,1994.490,1995.990,2000.590,2027.106,1,1,0,,0.000,0.000,0.000,0.000,32.616,
41,2016.030,0,1,0,2020.985,2021.852,2024.258,2025.758,2030.358,2041.633,1,1,0,,4.955,5.822,4.955,5.822,25.603,
42,2036.210,8,0,1,2043.712,2044.077,2046.483,2047.983,2052.583,2085.143,1,1,0,,7.502,7.867,7.502,7.867,48.933,
43,2165.280,0,6,1,2165.280,2165.280,2165.280,2166.780,2171.380,2216.003,1,1,0,,0.000,0.000,0.000,0.000,50.723,
44,2172.560,0,4,1,2172.560,2172.560,2172.560,2174.060,2178.660,2199.080,1,1,0,,0.000,0.000,0.000,0.000,26.520,
45,2241.420,8,0,1,2248.922,2249.287,2251.693,2253.193,2257.793,2290.353,1,1,0,,7.502,7.867,7.502,7.867,48.933,
46,2331.970,2,0,1,2339.497,2339.888,2342.294,2343.794,2348.394,2362.717,1,1,0,,7.527,7.918,7.527,7.918,30.747,
47,2435.250,5,0,1,2451.921,2452.312,2454.718,2456.218,2460.818,2484.285,1,1,0,,16.671,17.062,16.671,17.062,49.035,
48,2457.000,0,6,1,2479.989,2480.380,2482.785,2484.285,2490.885,2517.401,1,1,0,,22.989,23.380,22.989,23.380,60.401,
49,2505.730,0,3,0,2510.685,2511.552,2513.958,2515.458,2520.058,2537.429,1,1,0,,4.955,5.822,4.955,5.822,31.699,
50,2509.020,0,5,0,2510.685,2511.552,2513.958,2515.458,2520.058,2554.353,0,0,0,,,,1.665,2.532,45.333,
51,2574.890,0,2,0,2588.513,2588.904,2591.310,2592.810,2597.410,2611.733,1,1,0,,13.623,14.014,13.623,14.014,36.843,
52,2589.780,0,2,0,2589.780,2589.780,2591.310,2592.810,2597.410,2611.733,0,0,0,,,,0.000,0.000,21.953,
53,2720.630,3,0,0,2725.109,2725.500,2727.906,2729.406,2734.006,2751.377,1,1,0,,4.479,4.870,4.479,4.870,30.747,
54,2739.520,0,5,0,2747.081,2747.472,2749.877,2751.377,2757.977,2781.445,1,1,0,,7.561,7.952,7.561,7.952,41.925,
55,2857.360,0,2,0,2874.031,2874.422,2876.828,2878.328,2882.928,2897.251,1,1,0,,16.671,17.062,16.671,17.062,39.891,
56,2937.060,0,8,0,2944.587,2944.978,2947.384,2948.884,2953.484,2986.044,1,1,0,,7.527,7.918,7.527,7.918,48.984,
57,2944.810,0,8,0,2944.810,2944.978,2947.384,2948.884,2953.484,2986.044,0,0,0,,,,0.000,0.168,41.234,
58,2953.520,0,3,1,3023.831,3024.221,3026.627,3028.127,3032.727,3050.099,1,1,0,,70.311,70.701,70.311,70.701,96.579,
59,3051.190,0,2,0,3056.145,3057.012,3059.418,3060.918,3065.518,3079.841,1,1,0,,4.955,5.822,4.955,5.822,28.651,
60,3052.310,0,7,0,3056.145,3057.012,3059.418,3060.918,3065.518,3105.909,0,0,0,,,,3.835,4.702,53.599,
61,3064.560,0,8,0,3064.560,3064.560,3059.418,3060.918,3065.518,3119.734,0,0,0,,,,0.000,0.000,55.174,
62,3088.630,0,7,1,3157.020,3157.411,3159.816,3161.316,3165.916,3217.135,1,1,0,,68.390,68.781,68.390,68.781,128.505,
63,3100.660,0,1,1,3157.020,3157.411,3159.816,3161.316,3165.916,3177.192,0,0,0,,,,56.360,56.751,76.532,
64,3138.560,0,4,1,3157.020,3157.411,3159.816,3161.316,3165.916,3197.164,0,0,0,,,,18.460,18.851,58.604,
