Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,100.010,0,5,0,100.010,100.010,100.010,101.510,106.110,159.082,1,1,0,,0.000,0.000,0.000,0.000,59.072,
2,100.020,3,4,0,220.106,219.606,222.771,224.271,228.871,238.252,1,1,0,,120.086,119.586,120.086,119.586,138.232,
3,100.030,2,9,0,123.307,122.807,125.972,127.472,132.072,190.340,1,1,0,,23.277,22.777,23.277,22.777,90.310,
4,100.040,5,9,0,154.917,154.417,157.582,159.082,165.682,190.340,1,1,0,,54.877,54.377,54.877,54.377,90.300,
5,100.050,0,9,0,100.050,100.050,100.010,101.510,106.110,190.340,0,0,0,,,,0.000,0.000,90.290,
6,100.060,0,5,0,100.060,100.060,100.010,101.510,106.110,159.082,0,0,0,,,,0.000,0.000,59.022,
7,100.070,0,1,0,100.070,100.070,100.010,101.510,106.110,115.491,0,0,0,,,,0.000,0.000,15.421,
8,100.080,2,4,0,123.307,122.807,125.972,127.472,132.072,143.101,0,0,0,,,,23.227,22.727,43.021,
9,100.090,2,5,0,206.145,203.890,208.790,210.290,214.890,254.233,0,0,1,132.072,,,106.055,103.800,154.143,
10,100.100,4,7,0,138.956,137.612,141.601,143.101,149.701,176.711,1,1,0,,38.856,37.512,38.856,37.512,76.611,
11,100.110,4,8,0,234.087,233.587,236.752,238.252,244.852,269.130,0,0,1,149.701,,,133.977,133.477,169.020,
