Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.620,6,0,4,4.409,3.909,7.003,8.503,13.103,43.438,1,1,0,,2.789,2.289,2.789,2.289,41.818,
2,3.050,2,4,2,5.839,5.339,8.433,9.933,14.533,25.564,1,1,0,,2.789,2.289,2.789,2.289,22.514,
3,3.090,7,0,5,5.879,5.379,8.473,9.973,14.573,59.555,1,1,0,,2.789,2.289,2.789,2.289,56.465,
4,5.150,1,8,1,5.150,5.150,5.150,6.650,11.250,41.233,1,1,0,,0.000,0.000,0.000,0.000,36.083,
5,7.060,3,1,5,23.867,21.354,26.441,27.941,32.541,43.572,1,1,0,,16.807,14.294,16.807,14.294,36.512,C 
6,8.560,0,2,0,8.560,8.560,8.560,10.060,14.660,25.691,1,1,0,,0.000,0.000,0.000,0.000,17.131,
7,11.220,0,4,0,11.220,11.220,8.560,10.060,14.660,59.966,0,0,0,,,,0.000,0.000,48.746,
8,11.800,3,8,1,18.207,16.862,20.781,22.281,26.881,41.233,1,1,0,,6.407,5.062,6.407,5.062,29.433,
9,12.350,6,5,4,12.350,12.350,7.003,8.503,13.103,22.486,0,0,0,,,,0.000,0.000,10.136,
10,12.590,6,0,4,12.590,12.590,7.003,8.503,13.103,43.438,0,0,0,,,,0.000,0.000,30.848,
11,16.020,8,0,3,21.744,19.766,24.318,25.818,30.418,115.013,1,1,0,,5.724,3.746,5.724,3.746,98.993,
12,23.520,5,0,4,23.520,23.520,20.986,22.486,29.086,43.438,1,1,0,,0.000,0.000,0.000,0.000,19.918,
13,27.290,3,0,5,27.290,27.290,26.441,27.941,32.541,59.555,0,0,0,,,,0.000,0.000,32.265,
14,27.930,5,6,2,33.453,32.953,36.047,37.547,42.147,51.530,1,1,0,,5.523,5.023,5.523,5.023,23.600,C 
15,28.790,6,1,3,37.375,36.031,39.949,41.449,46.049,99.029,1,1,0,,8.585,7.241,8.585,7.241,70.239,
16,30.500,2,4,0,30.500,30.500,30.500,32.000,36.600,59.966,1,1,0,,0.000,0.000,0.000,0.000,29.466,
17,37.420,4,0,3,53.006,51.662,55.580,57.080,61.680,115.013,1,1,0,,15.586,14.242,15.586,14.242,77.593,
18,38.130,3,7,0,41.889,41.389,44.483,45.983,50.583,75.364,1,1,0,,3.759,3.259,3.759,3.259,37.234,
19,41.270,1,9,4,52.327,51.827,54.921,56.421,61.021,133.280,1,1,0,,11.057,10.557,11.057,10.557,92.010,C 
20,41.640,8,3,1,41.640,41.640,39.733,41.233,47.833,62.185,1,1,0,,0.000,0.000,0.000,0.000,20.545,
21,44.060,1,0,5,44.060,44.060,42.072,43.572,50.172,59.555,1,1,0,,0.000,0.000,0.000,0.000,15.495,
