Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.620,6,0,3,4.409,3.909,7.003,8.503,13.103,43.438,1,1,0,,2.789,2.289,2.789,2.289,41.818,
2,3.050,2,4,2,3.050,3.909,7.003,8.503,13.103,24.134,1,1,0,,0.000,0.859,0.000,0.859,21.084,
3,3.090,7,0,4,3.090,3.090,3.090,4.590,9.190,25.542,1,1,0,,0.000,0.000,0.000,0.000,22.452,
4,5.150,1,8,1,5.150,5.150,5.150,6.650,11.250,27.602,1,1,0,,0.000,0.000,0.000,0.000,22.452,
5,7.060,3,1,6,12.784,10.806,15.358,16.858,21.458,32.489,1,1,0,,5.724,3.746,5.724,3.746,25.429,
6,8.560,0,2,0,8.560,8.560,8.560,10.060,14.660,25.691,1,1,0,,0.000,0.000,0.000,0.000,17.131,
7,11.220,0,4,0,11.220,11.220,8.560,10.060,14.660,47.631,0,0,0,,,,0.000,0.000,36.411,
8,11.800,3,8,5,19.578,17.323,22.152,23.652,28.252,42.604,1,1,0,,7.778,5.523,7.778,5.523,30.804,NULL 
9,12.350,6,5,3,12.350,12.350,7.003,8.503,13.103,22.486,0,0,0,,,,0.000,0.000,10.136,
10,12.590,6,0,3,12.590,12.590,7.003,8.503,13.103,43.438,0,0,0,,,,0.000,0.000,30.848,
11,16.020,8,0,7,18.809,18.309,21.403,22.903,27.503,73.469,1,1,0,,2.789,2.289,2.789,2.289,57.449,
12,23.520,5,0,3,23.520,23.520,20.986,22.486,29.086,43.438,1,1,0,,0.000,0.000,0.000,0.000,19.918,
13,27.290,3,0,4,38.366,36.388,40.940,42.440,47.040,59.338,1,1,0,,11.076,9.098,11.076,9.098,32.048,NULL H 
14,27.930,5,6,1,38.426,36.448,41.000,42.500,47.100,56.483,1,1,0,,10.496,8.518,10.496,8.518,28.553,C 
15,28.790,6,1,7,34.460,33.116,37.034,38.534,43.134,57.486,1,1,0,,5.670,4.326,5.670,4.326,28.696,
16,30.500,2,4,0,30.500,30.500,30.500,32.000,36.600,47.631,1,1,0,,0.000,0.000,0.000,0.000,17.131,
17,37.420,4,0,0,43.557,42.212,46.131,47.631,54.231,67.599,1,1,0,,6.137,4.792,6.137,4.792,30.179,
18,38.130,3,7,5,59.482,57.227,62.056,63.556,70.156,96.818,1,1,0,,21.352,19.097,21.352,19.097,58.688,NULL H 
19,41.270,1,9,3,53.327,52.827,55.921,57.421,62.021,79.373,1,1,0,,12.057,11.557,12.057,11.557,38.103,
20,41.640,8,3,5,41.640,41.640,41.104,42.604,49.204,63.556,1,1,0,,0.000,0.000,0.000,0.000,21.916,
21,44.060,1,0,7,53.412,51.157,55.986,57.486,64.086,73.469,1,1,0,,9.352,7.097,9.352,7.097,29.409,C 
22,46.510,3,0,4,46.510,46.510,40.940,42.440,47.040,59.338,0,0,0,,,,0.000,0.000,12.828,
23,47.560,0,8,2,54.350,53.850,56.944,58.444,63.044,80.396,1,1,0,,6.790,6.290,6.790,6.290,32.836,H D HD 
24,47.750,0,2,4,55.265,53.286,57.838,59.338,65.938,76.969,0,1,0,,7.515,5.536,7.515,5.536,29.219,C D CD 
25,47.950,7,0,1,64.372,63.872,66.966,68.466,73.066,102.402,1,1,0,,16.422,15.922,16.422,15.922,54.452,
26,49.290,7,0,1,64.372,63.872,66.966,68.466,73.066,102.402,0,0,0,,,,15.082,14.582,53.112,
27,51.170,3,9,5,59.482,57.227,62.056,63.556,70.156,110.449,0,0,0,,,,8.312,6.057,59.279,
28,54.730,9,6,3,75.300,73.044,77.873,79.373,85.973,110.987,1,1,0,,20.570,18.314,20.570,18.314,56.257,
29,55.530,2,0,4,72.896,71.551,75.469,76.969,83.569,104.936,1,1,0,,17.366,16.021,17.366,16.021,49.406,
30,60.030,2,0,4,72.896,71.551,75.469,76.969,83.569,104.936,0,0,0,,,,12.866,11.521,44.906,
31,60.800,2,5,7,85.026,83.682,87.600,89.100,93.700,144.657,1,1,0,,24.226,22.882,24.226,22.882,83.857,NULL 
32,61.440,5,0,2,91.221,89.242,93.795,95.295,99.895,127.824,1,1,0,,29.781,27.802,29.781,27.802,66.384,NULL 
33,66.260,5,9,5,77.113,75.768,79.687,81.187,85.787,110.449,1,1,0,,10.853,9.508,10.853,9.508,44.189,
34,69.710,4,5,6,139.851,139.384,144.471,145.971,150.571,161.663,1,1,0,,70.141,69.674,70.141,69.674,91.953,D 
35,69.770,1,0,1,84.345,82.089,86.918,88.418,93.018,102.402,1,1,0,,14.575,12.319,14.575,12.319,32.632,
36,70.310,1,0,1,84.345,82.089,86.918,88.418,93.018,102.402,0,0,0,,,,14.035,11.779,32.092,
37,72.170,2,7,7,85.026,83.682,87.600,89.100,93.700,162.288,0,0,0,,,,12.856,11.512,90.118,NULL 
38,73.000,3,0,4,117.760,115.782,120.334,121.834,126.434,138.732,1,1,0,,44.760,42.782,44.760,42.782,65.732,C D CD 
39,75.910,1,0,1,84.345,82.089,86.918,88.418,93.018,102.402,0,0,0,,,,8.435,6.179,26.492,
40,75.960,2,1,4,75.960,75.960,75.469,76.969,83.569,92.952,0,0,0,,,,0.000,0.000,16.992,
41,86.840,6,0,3,106.914,105.569,109.487,110.987,117.587,148.321,1,1,0,,20.074,18.729,20.074,18.729,61.481,
42,88.700,8,0,3,91.035,90.762,93.857,95.357,99.957,148.321,1,1,0,,2.335,2.062,2.335,2.062,59.621,
43,89.280,5,8,7,140.583,139.239,143.157,144.657,151.257,174.771,1,1,0,,51.303,49.959,51.303,49.959,85.491,NULL C 
44,90.320,9,7,5,106.375,105.030,108.949,110.449,117.049,140.415,1,1,0,,16.055,14.710,16.055,14.710,50.095,
45,90.410,7,0,1,135.240,133.261,137.813,139.313,145.913,188.232,1,1,0,,44.830,42.851,44.830,42.851,97.822,C D CD 
46,91.770,3,2,0,117.318,114.805,119.892,121.392,125.992,135.375,0,1,0,,25.548,23.035,25.548,23.035,43.605,
47,93.180,4,1,5,151.239,149.261,153.813,155.313,159.913,176.327,1,1,0,,58.059,56.081,58.059,56.081,83.147,NULL C D 
48,93.510,8,5,3,93.510,93.510,93.857,95.357,99.957,126.971,0,0,0,,,,0.000,0.000,33.461,
49,96.190,1,0,6,96.190,96.190,96.190,97.690,102.290,126.003,1,1,0,,0.000,0.000,0.000,0.000,29.813,
50,96.550,6,0,3,106.914,105.569,109.487,110.987,117.587,148.321,0,0,0,,,,10.364,9.019,51.771,
51,98.960,2,0,2,108.119,106.141,110.693,112.193,116.793,127.824,1,1,0,,9.159,7.181,9.159,7.181,28.864,NULL 
52,100.370,1,0,6,100.370,100.370,96.190,97.690,102.290,126.003,0,0,0,,,,0.000,0.000,25.633,
53,104.130,1,0,6,104.130,104.130,104.130,105.630,110.230,126.003,1,1,0,,0.000,0.000,0.000,0.000,21.873,
54,106.020,6,0,3,106.914,106.020,109.487,110.987,117.587,148.321,0,0,0,,,,0.894,0.000,42.301,
55,106.070,3,7,7,122.932,122.432,125.526,127.026,133.626,162.288,1,1,0,,16.862,16.362,16.862,16.362,56.218,NULL 
56,108.630,2,3,7,108.630,108.630,108.630,110.130,114.730,127.026,1,1,0,,0.000,0.000,0.000,0.000,18.396,
57,108.670,7,9,3,165.700,163.444,168.273,169.773,174.373,192.055,1,1,0,,57.030,54.774,57.030,54.774,83.385,C D CD 
58,108.780,6,0,3,108.780,108.780,109.487,110.987,117.587,148.321,0,0,0,,,,0.000,0.000,39.541,
59,109.230,3,2,0,117.318,114.805,119.892,121.392,125.992,135.375,0,0,0,,,,8.088,5.575,26.145,
60,110.520,1,0,6,110.520,110.520,110.520,112.020,116.620,126.003,1,1,0,,0.000,0.000,0.000,0.000,15.483,
61,111.530,4,7,1,114.267,113.782,118.869,120.369,124.969,139.313,0,1,0,,2.737,2.252,2.737,2.252,27.783,
62,111.730,6,0,3,111.730,111.730,109.487,110.987,117.587,148.321,0,0,0,,,,0.000,0.000,36.591,
63,111.980,9,0,5,111.980,111.980,108.949,110.449,117.049,188.310,0,0,0,,,,0.000,0.000,76.330,
64,112.080,8,0,5,122.337,121.837,124.932,126.432,131.032,188.310,1,1,0,,10.257,9.757,10.257,9.757,76.230,
65,114.370,1,0,6,114.370,114.370,110.520,112.020,116.620,126.003,0,0,0,,,,0.000,0.000,11.633,
66,115.810,1,0,6,115.810,115.810,110.520,112.020,116.620,126.003,0,0,0,,,,0.000,0.000,10.193,
67,116.820,2,4,0,131.281,130.781,133.875,135.375,141.975,153.006,1,1,0,,14.461,13.961,14.461,13.961,36.186,
68,118.360,1,6,2,274.068,273.568,276.663,278.163,282.763,310.692,1,1,0,,155.708,155.208,155.708,155.208,192.332,NULL C D HC CD 
69,120.210,6,0,1,151.202,150.702,153.797,155.297,159.897,188.232,1,1,0,,30.992,30.492,30.992,30.492,68.022,
70,123.550,0,8,6,123.550,123.550,124.503,126.003,132.603,200.113,1,1,0,,0.000,0.000,0.000,0.000,76.563,C 
