Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.570,0,9,0,1.570,1.570,1.570,3.070,7.670,73.316,1,1,0,,0.000,0.000,0.000,0.000,71.746,
2,1.900,0,8,0,1.900,1.900,1.570,3.070,7.670,61.333,0,0,0,,,,0.000,0.000,59.433,
3,4.640,0,3,0,4.640,4.640,1.570,3.070,7.670,19.968,0,0,0,,,,0.000,0.000,15.328,
4,5.750,0,7,0,5.750,5.750,1.570,3.070,7.670,48.850,0,0,0,,,,0.000,0.000,43.100,
5,8.040,0,8,1,10.829,10.329,13.423,14.923,21.023,93.617,1,1,0,,2.789,2.289,2.789,2.289,85.577,
6,14.470,0,4,1,14.470,14.470,13.423,14.923,21.023,56.020,0,0,0,,,,0.000,0.000,41.550,
7,15.650,0,8,1,15.650,15.650,13.423,14.923,21.023,93.617,0,0,0,,,,0.000,0.000,77.967,
8,16.240,0,5,1,16.240,16.240,13.423,14.923,21.023,68.003,0,0,0,,,,0.000,0.000,51.763,
9,16.300,0,1,1,16.300,16.300,13.423,14.923,21.023,30.406,0,0,0,,,,0.000,0.000,14.106,
10,17.360,0,2,1,17.360,17.360,13.423,14.923,21.023,42.389,0,0,0,,,,0.000,0.000,25.029,
11,18.570,0,6,1,18.570,18.570,13.423,14.923,21.023,79.987,0,0,0,,,,0.000,0.000,61.417,
12,18.680,0,8,1,18.680,18.680,13.423,14.923,21.023,93.617,0,0,0,,,,0.000,0.000,74.937,
13,22.080,6,7,0,30.793,28.814,33.366,34.866,39.466,48.850,1,1,0,,8.713,6.734,8.713,6.734,26.770,
14,24.300,0,6,2,30.024,28.046,32.598,34.098,43.598,115.397,1,1,0,,5.724,3.746,5.724,3.746,91.097,
15,24.310,0,6,2,30.024,28.046,32.598,34.098,43.598,115.397,0,0,0,,,,5.714,3.736,91.087,
16,24.690,0,7,2,30.024,28.046,32.598,34.098,43.598,127.880,0,0,0,,,,5.334,3.356,103.190,
17,26.250,0,4,2,30.024,28.046,32.598,34.098,43.598,89.931,0,0,0,,,,3.774,1.796,63.681,
18,26.540,0,3,2,30.024,28.046,32.598,34.098,43.598,77.448,0,0,0,,,,3.484,1.506,50.908,
19,28.420,7,0,4,28.420,28.420,28.420,29.920,34.520,50.872,1,1,0,,0.000,0.000,0.000,0.000,22.452,
20,29.140,0,9,2,30.024,29.140,32.598,34.098,43.598,141.511,0,0,0,,,,0.884,0.000,112.371,
21,31.040,0,5,2,31.040,31.040,32.598,34.098,43.598,102.414,0,0,0,,,,0.000,0.000,71.374,
22,31.200,0,2,2,31.200,31.200,32.598,34.098,43.598,65.464,0,0,0,,,,0.000,0.000,34.264,
23,31.900,0,5,2,31.900,31.900,32.598,34.098,43.598,102.414,0,0,0,,,,0.000,0.000,70.514,
24,32.090,0,3,2,32.090,32.090,32.598,34.098,43.598,77.448,0,0,0,,,,0.000,0.000,45.358,
25,36.460,0,4,2,36.460,36.460,32.598,34.098,43.598,89.931,0,0,0,,,,0.000,0.000,53.471,
26,38.250,0,9,2,38.250,38.250,32.598,34.098,43.598,141.511,0,0,0,,,,0.000,0.000,103.261,
27,39.670,0,1,2,39.670,39.670,32.598,34.098,43.598,52.981,0,0,0,,,,0.000,0.000,13.311,
28,40.200,0,1,2,40.200,40.200,32.598,34.098,43.598,52.981,0,0,0,,,,0.000,0.000,12.781,
29,42.840,0,5,2,42.840,42.840,32.598,34.098,43.598,102.414,0,0,0,,,,0.000,0.000,59.574,
30,43.730,0,8,4,46.798,44.543,49.372,50.872,58.972,142.902,1,1,0,,3.068,0.813,3.068,0.813,99.172,
31,45.270,0,1,4,46.798,45.270,49.372,50.872,58.972,68.355,0,0,0,,,,1.528,0.000,23.085,
32,47.020,0,6,4,47.020,47.020,49.372,50.872,58.972,128.771,0,0,0,,,,0.000,0.000,81.751,
33,47.030,0,5,4,47.030,47.030,49.372,50.872,58.972,116.788,0,0,0,,,,0.000,0.000,69.758,
34,49.790,0,4,4,49.790,49.790,49.372,50.872,58.972,104.305,0,0,0,,,,0.000,0.000,54.515,
35,50.720,0,8,4,50.720,50.720,49.372,50.872,58.972,142.902,0,0,0,,,,0.000,0.000,92.182,
36,50.780,0,8,4,50.780,50.780,49.372,50.872,58.972,142.902,0,0,0,,,,0.000,0.000,92.122,
37,52.140,0,2,4,52.140,52.140,49.372,50.872,58.972,80.338,0,0,0,,,,0.000,0.000,28.198,
38,52.840,8,6,5,52.840,52.840,52.840,54.340,58.940,69.971,1,1,0,,0.000,0.000,0.000,0.000,17.131,
