Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.130,0,9,1,4.942,4.442,7.536,9.036,13.636,69.589,1,1,0,,3.812,3.312,3.812,3.312,68.459,
2,4.830,9,0,4,10.310,8.965,12.884,14.384,18.984,84.357,1,1,0,,5.480,4.135,5.480,4.135,79.527,
3,7.550,4,0,2,10.339,9.839,12.933,14.433,19.033,32.401,1,1,0,,2.789,2.289,2.789,2.289,24.851,
4,9.740,9,3,4,10.310,9.740,12.884,14.384,18.984,54.243,0,0,0,,,,0.570,0.000,44.503,
5,10.150,0,2,1,10.150,10.150,7.536,9.036,13.636,35.002,0,0,0,,,,0.000,0.000,24.852,
6,10.890,0,1,1,10.890,10.890,7.536,9.036,13.636,23.019,0,0,0,,,,0.000,0.000,12.129,
7,10.930,7,6,6,35.671,35.171,38.265,39.765,46.365,55.748,1,1,0,,24.741,24.241,24.741,24.241,44.818,
8,11.750,1,4,3,29.350,26.837,31.924,33.424,38.024,50.322,1,1,0,,17.600,15.087,17.600,15.087,38.572,C D CD 
9,11.850,8,0,6,20.788,19.453,24.282,25.782,30.382,93.347,1,1,0,,8.938,7.603,8.938,7.603,81.497,
10,11.920,0,4,1,11.920,11.920,7.536,9.036,13.636,52.637,0,0,0,,,,0.000,0.000,40.717,
11,12.770,6,9,5,28.684,26.171,31.258,32.758,37.358,49.656,1,1,0,,15.914,13.401,15.914,13.401,36.886,
12,20.400,1,0,0,31.889,31.389,34.483,35.983,40.583,49.966,1,1,0,,11.489,10.989,11.489,10.989,29.566,NULL H 
13,21.890,4,0,4,28.856,27.007,31.836,33.336,37.936,84.357,1,1,0,,6.966,5.117,6.966,5.117,62.467,
14,23.350,4,1,4,28.856,27.007,31.836,33.336,37.936,71.874,0,0,0,,,,5.506,3.657,48.524,
15,23.410,8,7,6,23.410,23.410,24.282,25.782,30.382,39.765,0,0,0,,,,0.000,0.000,16.355,
16,23.430,9,0,2,65.223,62.968,67.797,69.297,73.897,160.259,1,1,0,,41.793,39.538,41.793,39.538,136.829,D 
17,23.620,7,2,6,35.671,35.171,38.265,39.765,46.365,75.716,0,0,0,,,,12.051,11.551,52.096,
18,23.740,4,0,4,28.856,27.007,31.836,33.336,37.936,84.357,0,0,0,,,,5.116,3.267,60.617,
19,25.090,1,0,0,31.889,31.389,34.483,35.983,40.583,49.966,0,0,0,,,,6.799,6.299,24.876,NULL H 
20,25.140,0,8,1,101.803,99.290,104.376,105.876,110.976,174.894,1,1,0,,76.663,74.150,76.663,74.150,149.754,H D HD 
21,28.250,6,0,6,51.654,51.154,54.248,55.748,62.348,93.347,1,1,0,,23.404,22.904,23.404,22.904,65.097,NULL 
22,29.100,2,9,1,30.908,30.408,33.502,35.002,41.602,69.589,1,1,0,,1.808,1.308,1.808,1.308,40.489,
23,31.270,6,2,6,51.654,51.154,54.248,55.748,62.348,75.716,0,0,0,,,,20.384,19.884,44.446,NULL 
24,32.950,9,3,2,65.223,62.968,67.797,69.297,73.897,117.809,0,0,0,,,,32.273,30.018,84.859,D 
25,33.770,2,6,5,69.565,68.220,72.139,73.639,78.239,104.520,0,1,0,,35.795,34.450,35.795,34.450,70.750,C D CD 
26,36.430,7,3,0,65.151,64.589,69.418,70.918,75.518,88.886,0,1,0,,28.721,28.159,28.721,28.159,52.456,NULL C D CD 
27,36.500,3,0,4,50.149,49.649,52.743,54.243,60.843,84.357,1,1,0,,13.649,13.149,13.649,13.149,47.857,
28,36.750,7,8,7,52.677,52.177,55.271,56.771,61.371,70.754,1,1,0,,15.927,15.427,15.927,15.427,34.004,NULL H 
29,38.730,0,3,1,101.803,99.290,104.376,105.876,110.976,123.275,0,0,0,,,,63.073,60.560,84.545,H D HD 
30,38.760,4,0,4,38.760,38.760,38.760,40.260,44.860,84.357,1,1,0,,0.000,0.000,0.000,0.000,45.597,
31,38.810,3,1,4,50.149,49.649,52.743,54.243,60.843,71.874,0,0,0,,,,11.339,10.839,33.064,
32,39.430,0,8,1,101.803,99.290,104.376,105.876,110.976,174.894,0,0,0,,,,62.373,59.860,135.464,H D HD 
33,40.120,2,0,6,71.642,69.129,74.216,75.716,82.316,93.347,1,1,0,,31.522,29.009,31.522,29.009,53.227,NULL 
34,43.210,5,2,4,98.573,98.480,103.309,104.809,109.409,121.707,1,1,0,,55.363,55.270,55.363,55.270,78.497,
35,44.090,7,0,6,44.090,44.090,38.265,39.765,46.365,93.347,0,0,0,,,,0.000,0.000,49.257,
36,45.290,3,0,4,50.149,49.649,52.743,54.243,60.843,84.357,0,0,0,,,,4.859,4.359,39.067,
37,45.290,4,0,2,99.752,97.774,102.326,103.826,108.426,160.259,1,1,0,,54.462,52.484,54.462,52.484,114.969,NULL H 
38,46.030,5,2,4,98.573,98.480,103.309,104.809,109.409,121.707,0,0,0,,,,52.543,52.450,75.677,
39,48.230,3,0,4,50.149,49.649,52.743,54.243,60.843,84.357,0,0,0,,,,1.919,1.419,36.127,
40,50.310,9,2,2,65.223,62.968,67.797,69.297,73.897,133.792,0,0,0,,,,14.913,12.658,83.482,D 
41,53.190,1,4,7,177.649,175.394,180.223,181.723,186.323,198.621,1,1,0,,124.459,122.204,124.459,122.204,145.431,NULL C D CD 
42,56.270,5,0,4,98.573,98.480,103.309,104.809,109.409,139.338,0,0,0,,,,42.303,42.210,83.068,
