Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.420,0,4,6,1.420,1.420,1.420,2.920,7.520,42.511,1,1,0,,0.000,0.000,0.000,0.000,41.091,
2,3.020,0,1,6,3.020,3.020,1.420,2.920,7.520,16.901,0,0,0,,,,0.000,0.000,13.881,
3,4.400,0,6,1,19.134,17.789,21.779,23.279,27.879,43.229,0,1,0,,14.734,13.389,14.734,13.389,38.829,D 
4,4.860,0,2,6,4.860,4.860,1.420,2.920,7.520,28.882,0,0,0,,,,0.000,0.000,24.022,
5,9.700,0,7,1,19.134,17.789,21.779,23.279,27.879,55.210,0,0,0,,,,9.434,8.089,45.510,D 
6,10.080,0,2,4,12.796,12.296,15.461,16.961,21.561,32.590,0,1,0,,2.716,2.216,2.716,2.216,22.510,
7,12.830,0,9,1,19.134,17.789,21.779,23.279,27.879,68.839,0,0,0,,,,6.304,4.959,56.009,D 
8,17.180,0,9,1,19.134,17.789,21.779,23.279,27.879,68.839,0,0,0,,,,1.954,0.609,51.659,D 
9,20.060,1,0,0,132.904,132.404,135.570,137.070,141.670,151.051,1,1,0,,112.844,112.344,112.844,112.344,130.991,C 
10,24.690,9,0,0,97.994,95.739,100.639,102.139,106.739,151.051,1,1,0,,73.304,71.049,73.304,71.049,126.361,H D HD 
11,24.770,0,2,2,30.421,28.443,33.066,34.566,39.166,50.195,0,1,0,,5.651,3.673,5.651,3.673,25.425,D 
12,29.670,0,3,2,30.421,29.670,33.066,34.566,39.166,62.176,0,0,0,,,,0.751,0.000,32.506,
13,31.080,0,8,5,47.564,45.586,50.209,51.709,56.309,73.659,0,1,0,,16.484,14.506,16.484,14.506,42.579,D 
14,33.450,0,4,2,33.450,33.450,33.066,34.566,39.166,74.157,0,0,0,,,,0.000,0.000,40.707,
15,43.750,0,5,6,54.332,51.819,56.977,58.477,63.077,110.049,0,1,0,,10.582,8.069,10.582,8.069,66.299,D 
16,44.900,0,2,6,54.332,51.819,56.977,58.477,63.077,74.106,0,0,0,,,,9.432,6.919,29.206,D 
17,48.490,0,3,6,54.332,51.819,56.977,58.477,63.077,86.087,0,0,0,,,,5.842,3.329,37.597,D 
18,49.710,0,8,1,163.631,163.131,166.297,167.797,172.397,189.747,0,1,0,,113.921,113.421,113.921,113.421,140.037,NULL H C D CD 
19,54.380,0,4,6,54.380,54.380,56.977,58.477,63.077,98.068,0,0,0,,,,0.000,0.000,43.688,D 
20,61.170,0,5,6,61.170,61.170,56.977,58.477,63.077,110.049,0,0,0,,,,0.000,0.000,48.879,
21,61.490,0,8,5,89.464,87.209,92.109,93.609,98.209,145.362,0,1,0,,27.974,25.719,27.974,25.719,83.872,D 
22,65.970,0,5,2,85.978,83.465,88.623,90.123,96.723,145.695,0,1,0,,20.008,17.495,20.008,17.495,79.725,
23,70.210,0,2,2,85.978,83.465,88.623,90.123,96.723,118.585,0,0,0,,,,15.768,13.255,48.375,
24,71.540,0,6,5,89.464,87.209,92.109,93.609,98.209,120.400,0,0,0,,,,17.924,15.669,48.860,D 
25,78.390,0,1,2,85.978,83.465,88.623,90.123,96.723,106.104,0,0,0,,,,7.588,5.075,27.714,
26,79.010,2,0,0,118.944,116.689,121.589,123.089,127.689,151.051,1,1,0,,39.934,37.679,39.934,37.679,72.041,C 
27,84.760,0,2,2,85.978,84.760,88.623,90.123,96.723,118.585,0,0,0,,,,1.218,0.000,33.825,
28,86.550,0,5,2,86.550,86.550,88.623,90.123,96.723,145.695,0,0,0,,,,0.000,0.000,59.145,
29,87.430,0,2,2,87.430,87.430,88.623,90.123,96.723,118.585,0,0,0,,,,0.000,0.000,31.155,
30,87.500,0,1,2,87.500,87.500,88.623,90.123,96.723,106.104,0,0,0,,,,0.000,0.000,18.604,
31,87.780,0,2,2,87.780,87.780,88.623,90.123,96.723,118.585,0,0,0,,,,0.000,0.000,30.805,
32,94.440,0,4,2,94.440,94.440,88.623,90.123,96.723,133.714,0,0,0,,,,0.000,0.000,39.274,
33,94.870,0,7,5,94.870,94.870,92.109,93.609,98.209,132.881,0,0,0,,,,0.000,0.000,38.011,D 
34,95.190,0,6,5,95.190,95.190,92.109,93.609,98.209,120.400,0,0,0,,,,0.000,0.000,25.210,D 
35,97.930,9,0,0,97.994,97.930,100.639,102.139,106.739,151.051,0,0,0,,,,0.064,0.000,53.121,
36,98.950,0,7,5,98.950,98.950,98.950,100.450,105.050,132.881,0,1,0,,0.000,0.000,0.000,0.000,33.931,
37,99.690,0,2,4,111.196,110.696,113.861,115.361,119.961,141.323,0,1,0,,11.506,11.006,11.506,11.006,41.633,H D HD 
38,100.170,0,3,4,111.196,110.696,113.861,115.361,119.961,153.305,0,0,0,,,,11.026,10.526,53.135,H D HD 
39,100.400,0,9,5,100.400,100.400,98.950,100.450,105.050,157.343,0,0,0,,,,0.000,0.000,56.943,
40,104.920,0,4,4,111.196,110.696,113.861,115.361,119.961,165.286,0,0,0,,,,6.276,5.776,60.366,H D HD 
41,107.650,0,1,4,111.196,110.696,113.861,115.361,119.961,129.342,0,0,0,,,,3.546,3.046,21.692,
42,110.540,0,9,7,128.735,126.480,131.380,132.880,137.980,190.274,0,1,0,,18.195,15.940,18.195,15.940,79.734,D 
43,110.740,0,8,7,128.735,126.480,131.380,132.880,137.980,177.792,0,0,0,,,,17.995,15.740,67.052,D 
44,113.410,0,8,7,128.735,126.480,131.380,132.880,137.980,177.792,0,0,0,,,,15.325,13.070,64.382,D 
45,120.130,7,0,0,190.631,189.286,193.276,194.776,199.376,229.355,1,1,0,,70.501,69.156,70.501,69.156,109.225,NULL 
46,121.120,0,6,7,128.735,126.480,131.380,132.880,137.980,153.330,0,0,0,,,,7.615,5.360,32.210,
47,126.630,0,3,6,144.126,143.626,146.791,148.291,155.891,204.263,0,1,0,,17.496,16.996,17.496,16.996,77.633,H C D HD 
48,128.780,0,4,6,144.126,143.626,146.791,148.291,155.891,217.745,0,0,0,,,,15.346,14.846,88.965,H C D HD 
49,129.420,0,7,7,129.420,129.420,131.380,132.880,137.980,165.811,0,0,0,,,,0.000,0.000,36.391,
50,130.050,0,3,6,144.126,143.626,146.791,148.291,155.891,204.263,0,0,0,,,,14.076,13.576,74.213,H C D HD 
51,132.150,0,1,6,144.126,143.626,146.791,148.291,155.891,179.301,0,0,0,,,,11.976,11.476,47.151,H C D HD 
52,132.700,0,1,6,144.126,143.626,146.791,148.291,155.891,179.301,0,0,0,,,,11.426,10.926,46.601,H C D HD 
53,134.060,0,6,7,134.060,134.060,131.380,132.880,137.980,153.330,0,0,0,,,,0.000,0.000,19.270,
