Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,3.190,7,8,1,11.895,9.640,14.540,16.040,20.640,40.365,1,1,0,,8.705,6.450,8.705,6.450,37.175,
2,8.050,4,0,0,16.676,14.421,19.321,20.821,25.421,38.787,1,1,0,,8.626,6.371,8.626,6.371,30.737,
3,10.630,8,2,5,10.630,10.630,10.630,12.130,16.730,32.080,1,1,0,,0.000,0.000,0.000,0.000,21.450,
4,36.480,3,1,0,70.880,70.380,73.545,75.045,79.645,90.674,1,1,0,,34.400,33.900,34.400,33.900,54.194,
5,51.430,4,0,0,56.899,56.399,59.564,61.064,65.664,102.655,1,1,0,,5.469,4.969,5.469,4.969,51.225,
6,52.970,0,8,5,57.354,56.009,59.999,61.499,66.099,95.345,1,1,0,,4.384,3.039,4.384,3.039,42.375,
7,55.020,7,6,1,57.736,57.236,60.401,61.901,66.501,75.882,1,1,0,,2.716,2.216,2.716,2.216,20.862,
8,64.500,0,5,5,64.500,64.500,59.999,61.499,66.099,80.449,0,0,0,,,,0.000,0.000,15.949,
9,64.620,0,9,5,64.620,64.620,59.999,61.499,66.099,107.326,0,0,0,,,,0.000,0.000,42.706,
10,80.820,0,6,2,86.471,84.493,89.116,90.616,95.216,110.566,1,1,0,,5.651,3.673,5.651,3.673,29.746,
11,89.030,5,0,5,144.752,144.252,147.417,148.917,153.517,190.276,1,1,0,,55.722,55.222,55.722,55.222,101.246,C 
12,89.290,6,1,5,130.792,129.447,133.436,134.936,139.536,177.795,1,1,0,,41.502,40.157,41.502,40.157,88.505,D 
13,90.010,7,5,1,92.726,92.226,95.391,96.891,101.491,112.520,1,1,0,,2.716,2.216,2.716,2.216,22.510,
14,93.360,5,9,1,108.375,107.031,111.020,112.520,119.120,132.486,1,1,0,,15.015,13.671,15.015,13.671,39.126,
15,93.880,2,1,0,143.017,141.672,145.662,147.162,151.762,161.143,1,1,0,,49.137,47.792,49.137,47.792,67.263,
16,102.810,5,1,5,144.752,144.252,147.417,148.917,153.517,177.795,0,0,0,,,,41.942,41.442,74.985,C 
17,105.030,8,2,5,115.142,114.642,117.807,119.307,123.907,165.814,1,1,0,,10.112,9.612,10.112,9.612,60.784,
18,111.100,3,4,0,114.062,113.428,118.051,119.551,124.151,133.533,1,1,0,,2.962,2.328,2.962,2.328,22.433,
19,118.080,1,7,2,125.785,123.530,128.430,129.930,134.530,149.880,1,1,0,,7.705,5.450,7.705,5.450,31.800,
20,126.070,0,4,0,177.558,177.058,180.224,181.724,188.324,201.689,1,1,0,,51.488,50.988,51.488,50.988,75.619,
21,140.410,6,7,1,146.061,144.083,148.706,150.206,154.806,164.187,1,1,0,,5.651,3.673,5.651,3.673,23.777,
22,150.110,7,8,1,160.022,159.522,162.687,164.187,170.787,180.168,1,1,0,,9.912,9.412,9.912,9.412,30.058,NULL 
23,165.060,1,0,0,165.060,165.060,166.243,167.743,172.343,181.724,1,1,0,,0.000,0.000,0.000,0.000,16.664,
24,172.440,6,8,1,189.653,188.308,192.297,193.797,198.397,209.426,1,1,0,,17.213,15.868,17.213,15.868,36.986,
25,180.590,2,0,0,223.486,222.986,226.152,227.652,232.252,243.281,1,1,0,,42.896,42.396,42.896,42.396,62.691,NULL 
26,187.900,9,8,1,217.242,216.742,219.907,221.407,226.007,235.389,1,1,0,,29.342,28.842,29.342,28.842,47.489,
27,194.270,6,1,2,196.986,196.486,199.651,201.151,205.751,220.101,1,1,0,,2.716,2.216,2.716,2.216,25.831,NULL 
28,194.540,3,0,0,209.505,209.005,212.171,213.671,218.271,243.281,1,1,0,,14.965,14.465,14.965,14.465,48.741,
29,194.680,3,0,0,209.505,209.005,212.171,213.671,218.271,243.281,0,0,0,,,,14.825,14.325,48.601,
30,194.770,2,6,5,201.760,200.415,204.405,205.905,210.505,223.870,1,1,0,,6.990,5.645,6.990,5.645,29.100,
31,206.710,0,7,5,237.676,235.420,240.320,241.820,246.420,276.682,1,1,0,,30.966,28.710,30.966,28.710,69.972,
32,213.330,4,5,2,230.853,228.874,233.497,234.997,239.597,248.978,1,1,0,,17.523,15.544,17.523,15.544,35.648,
33,224.540,8,5,1,231.223,230.723,233.889,235.389,241.989,254.285,1,1,0,,6.683,6.183,6.683,6.183,29.745,
34,225.360,4,8,5,255.641,253.128,258.286,259.786,264.386,288.663,0,1,0,,30.281,27.768,30.281,27.768,63.303,D 
35,240.580,5,4,2,316.703,316.203,319.369,320.869,325.469,334.850,1,1,0,,76.123,75.623,76.123,75.623,94.270,D HC 
36,243.350,8,4,2,274.760,274.260,277.425,278.925,283.525,334.850,1,1,0,,31.410,30.910,31.410,30.910,91.500,
