Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.790,0,4,6,1.790,1.790,1.790,3.290,7.890,21.256,1,1,0,,0.000,0.000,0.000,0.000,19.466,
2,3.490,0,5,6,3.490,3.490,1.790,3.290,7.890,33.237,0,0,0,,,,0.000,0.000,29.747,
3,21.490,0,8,1,26.972,26.472,29.637,31.137,35.737,53.087,1,1,0,,5.482,4.982,5.482,4.982,31.597,
4,22.660,0,8,1,26.972,26.472,29.637,31.137,35.737,53.087,0,0,0,,,,4.312,3.812,30.427,
5,23.630,0,8,1,26.972,26.472,29.637,31.137,35.737,53.087,0,0,0,,,,3.342,2.842,29.457,
6,23.680,0,1,2,29.331,27.353,31.976,33.476,38.076,47.457,0,1,0,,5.651,3.673,5.651,3.673,23.777,D 
7,27.170,0,8,1,27.170,27.170,29.637,31.137,35.737,53.087,0,0,0,,,,0.000,0.000,25.917,
8,29.350,0,8,1,29.350,29.350,29.637,31.137,35.737,53.087,0,0,0,,,,0.000,0.000,23.737,
9,29.480,0,6,5,44.685,42.430,47.330,48.830,53.430,68.780,0,1,0,,15.205,12.950,15.205,12.950,39.300,C D CD 
10,33.490,0,7,5,44.685,42.430,47.330,48.830,53.430,80.761,0,0,0,,,,11.195,8.940,47.271,C D CD 
11,36.420,0,3,2,36.420,36.420,31.976,33.476,38.076,61.086,0,0,0,,,,0.000,0.000,24.666,
12,40.780,0,8,7,52.353,50.098,54.998,56.498,61.098,78.448,0,1,0,,11.573,9.318,11.573,9.318,37.668,C D CD 
13,42.730,0,5,6,67.243,66.743,69.909,71.409,76.009,101.856,0,1,0,,24.513,24.013,24.513,24.013,59.126,H C D HD CD 
14,45.970,0,2,4,59.576,59.076,62.241,63.741,68.341,79.370,0,1,0,,13.606,13.106,13.606,13.106,33.400,H D HD 
15,47.620,0,8,7,52.353,50.098,54.998,56.498,61.098,78.448,0,0,0,,,,4.733,2.478,30.828,C D CD 
16,48.850,0,7,5,48.850,48.850,47.330,48.830,53.430,80.761,0,0,0,,,,0.000,0.000,31.911,
17,56.770,0,2,4,59.576,59.076,62.241,63.741,68.341,79.370,0,0,0,,,,2.806,2.306,22.600,D 
18,60.950,0,1,2,71.838,69.859,74.482,75.982,80.582,89.964,0,1,0,,10.888,8.909,10.888,8.909,29.014,C D CD 
19,63.450,0,5,4,63.450,63.450,62.241,63.741,68.341,94.766,0,0,0,,,,0.000,0.000,31.316,
20,65.300,0,4,6,67.243,66.743,69.909,71.409,76.009,89.375,0,0,0,,,,1.943,1.443,24.075,C D CD 
21,68.720,0,4,6,68.720,68.720,69.909,71.409,76.009,89.375,0,0,0,,,,0.000,0.000,20.655,
22,68.870,0,7,1,70.892,68.870,73.537,75.037,79.637,95.987,0,1,0,,2.022,0.000,2.022,0.000,27.117,D 
23,70.270,0,9,1,70.892,70.270,73.537,75.037,79.637,119.949,0,0,0,,,,0.622,0.000,49.679,D 
24,73.010,0,8,1,73.010,73.010,73.537,75.037,79.637,107.968,0,0,0,,,,0.000,0.000,34.958,D 
25,73.480,0,2,2,73.480,73.480,74.482,75.982,80.582,102.445,0,0,0,,,,0.000,0.000,28.965,C D CD 
26,76.400,0,1,2,76.400,76.400,74.482,75.982,80.582,89.964,0,0,0,,,,0.000,0.000,13.564,D 
27,76.530,0,4,2,76.530,76.530,74.482,75.982,80.582,126.407,0,0,0,,,,0.000,0.000,49.877,D 
28,77.680,0,3,2,77.680,77.680,74.482,75.982,80.582,114.426,0,0,0,,,,0.000,0.000,36.746,D 
29,90.280,0,6,5,114.671,112.416,117.316,118.816,123.916,139.266,1,1,0,,24.391,22.136,24.391,22.136,48.986,D 
30,105.850,0,5,4,130.062,129.562,132.727,134.227,138.827,153.177,0,1,0,,24.212,23.712,24.212,23.712,47.327,H C D HD CD 
31,107.280,0,5,6,114.337,112.406,117.306,118.806,123.406,149.331,0,1,0,,7.057,5.126,7.057,5.126,42.051,
32,108.200,0,9,5,114.671,112.416,117.316,118.816,123.916,165.876,0,0,0,,,,6.471,4.216,57.676,D 
33,111.040,0,2,6,114.337,112.406,117.306,118.806,123.406,134.435,0,0,0,,,,3.297,1.366,23.395,
34,111.060,0,7,5,114.671,112.416,117.316,118.816,123.916,151.747,0,0,0,,,,3.611,1.356,40.687,D 
35,113.470,0,9,5,114.671,113.470,117.316,118.816,123.916,165.876,0,0,0,,,,1.201,0.000,52.406,D 
36,115.150,0,7,5,115.150,115.150,117.316,118.816,123.916,151.747,0,0,0,,,,0.000,0.000,36.597,D 
37,121.430,0,6,5,121.430,121.430,117.316,118.816,123.916,139.266,0,0,0,,,,0.000,0.000,17.836,D 
38,134.720,0,4,2,135.015,135.715,140.873,142.373,146.973,190.151,0,1,0,,0.295,0.995,0.295,0.995,55.431,C D CD 
39,143.040,0,8,1,143.040,143.040,143.040,144.540,149.140,178.119,0,1,0,,0.000,0.000,0.000,0.000,35.079,D 
40,143.740,0,2,2,143.740,143.740,140.873,142.373,146.973,176.522,0,0,0,,,,0.000,0.000,32.782,
41,144.270,0,1,2,144.270,144.270,140.873,142.373,146.973,164.041,0,0,0,,,,0.000,0.000,19.771,
42,146.600,0,6,1,146.600,146.600,143.040,144.540,149.140,164.490,0,0,0,,,,0.000,0.000,17.890,D 
43,146.960,0,9,1,146.960,146.960,143.040,144.540,149.140,190.100,0,0,0,,,,0.000,0.000,43.140,D 
44,148.560,0,1,2,148.560,148.560,148.560,150.060,154.660,164.041,0,1,0,,0.000,0.000,0.000,0.000,15.481,D 
45,151.260,0,4,2,151.260,151.260,148.560,150.060,154.660,190.151,0,0,0,,,,0.000,0.000,38.891,
46,155.780,0,7,7,167.636,165.381,170.281,171.781,177.381,204.712,1,1,0,,11.856,9.601,11.856,9.601,48.932,D 
47,155.850,0,1,4,165.982,163.727,168.627,170.127,174.727,184.108,0,1,0,,10.132,7.877,10.132,7.877,28.258,
48,156.230,0,4,6,183.526,183.026,186.192,187.692,192.292,216.569,0,1,0,,27.296,26.796,27.296,26.796,60.339,H C D HD CD 
49,159.390,0,6,7,167.636,165.381,170.281,171.781,177.381,192.731,0,0,0,,,,8.246,5.991,33.341,D 
50,160.150,0,8,7,167.636,165.381,170.281,171.781,177.381,217.193,0,0,0,,,,7.486,5.231,57.043,D 
51,162.570,0,2,4,165.982,163.727,168.627,170.127,174.727,196.090,0,0,0,,,,3.412,1.157,33.520,
52,162.640,0,9,7,167.636,165.381,170.281,171.781,177.381,229.174,0,0,0,,,,4.996,2.741,66.534,D 
53,163.570,0,9,7,167.636,165.381,170.281,171.781,177.381,229.174,0,0,0,,,,4.066,1.811,65.604,D 
54,165.540,0,7,7,167.636,165.540,170.281,171.781,177.381,204.712,0,0,0,,,,2.096,0.000,39.172,D 
55,173.830,0,5,4,173.830,173.830,168.627,170.127,174.727,210.986,0,0,0,,,,0.000,0.000,37.156,
56,175.600,0,9,7,175.600,175.600,170.281,171.781,177.381,229.174,0,0,0,,,,0.000,0.000,53.574,
57,178.080,0,1,6,183.526,183.026,186.192,187.692,192.292,201.673,0,0,0,,,,5.446,4.946,23.593,
58,180.860,0,7,1,206.905,204.650,209.550,211.050,217.150,233.500,0,1,0,,26.045,23.790,26.045,23.790,52.640,C D CD 
59,184.290,0,6,3,207.955,205.700,210.600,212.100,216.700,232.050,0,1,0,,23.665,21.410,23.665,21.410,47.760,D 
60,187.160,0,7,1,206.905,204.650,209.550,211.050,217.150,233.500,0,0,0,,,,19.745,17.490,46.340,C D CD 
61,187.310,0,7,1,206.905,204.650,209.550,211.050,217.150,233.500,0,0,0,,,,19.595,17.340,46.190,C D CD 
62,188.830,0,8,1,206.905,204.650,209.550,211.050,217.150,247.981,0,0,0,,,,18.075,15.820,59.151,C D CD 
63,189.680,0,5,6,189.680,189.680,186.192,187.692,192.292,228.550,0,0,0,,,,0.000,0.000,38.870,
64,192.210,0,8,1,206.905,204.650,209.550,211.050,217.150,247.981,0,0,0,,,,14.695,12.440,55.771,C D CD 
65,193.850,0,3,2,222.846,222.346,225.511,227.011,233.611,257.621,0,1,0,,28.996,28.496,28.996,28.496,63.771,H D HD 
66,194.950,0,1,2,222.846,222.346,225.511,227.011,233.611,242.992,0,0,0,,,,27.896,27.396,48.042,H D HD 
67,202.040,0,9,3,207.955,205.700,210.600,212.100,216.700,247.946,0,0,0,,,,5.915,3.660,45.906,
68,203.560,0,6,3,207.955,205.700,210.600,212.100,216.700,232.050,0,0,0,,,,4.395,2.140,28.490,
69,204.640,0,4,4,234.676,234.176,237.341,238.841,243.441,256.807,0,1,0,,30.036,29.536,30.036,29.536,52.167,C D CD 
70,204.970,0,3,2,222.846,222.346,225.511,227.011,233.611,257.621,0,0,0,,,,17.876,17.376,52.651,H D HD 
71,209.850,0,7,1,209.850,209.850,209.550,211.050,217.150,233.500,0,0,0,,,,0.000,0.000,23.650,C D CD 
72,211.560,0,6,3,211.560,211.560,210.600,212.100,216.700,232.050,0,0,0,,,,0.000,0.000,20.490,
73,212.800,0,7,1,212.800,212.800,209.550,211.050,217.150,233.500,0,0,0,,,,0.000,0.000,20.700,C D CD 
74,215.730,0,7,1,215.730,215.730,209.550,211.050,217.150,233.500,0,0,0,,,,0.000,0.000,17.770,C D CD 
75,217.690,0,7,5,275.111,272.856,277.756,279.256,283.856,300.206,0,1,0,,57.421,55.166,57.421,55.166,82.516,H C D HD CD 
76,219.930,0,1,2,222.846,222.346,225.511,227.011,233.611,242.992,0,0,0,,,,2.916,2.416,23.062,
77,222.210,0,4,4,234.676,234.176,237.341,238.841,243.441,256.807,0,0,0,,,,12.466,11.966,34.597,C D CD 
