Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.720,2,0,6,6.104,4.759,8.749,10.249,14.849,38.211,1,1,0,,4.384,3.039,4.384,3.039,36.491,
2,6.290,5,0,6,121.487,120.987,124.152,125.652,130.252,175.725,1,1,0,,115.197,114.697,115.197,114.697,169.435,
3,8.890,1,0,6,20.064,19.564,22.730,24.230,28.830,38.211,1,1,0,,11.174,10.674,11.174,10.674,29.321,
4,11.370,9,0,6,57.016,54.761,59.661,61.161,65.761,175.725,1,1,0,,45.646,43.391,45.646,43.391,164.355,
5,17.570,5,0,6,503.029,502.529,505.694,507.194,516.694,531.044,0,0,1,351.773,,,485.459,484.959,513.474,
6,20.080,9,0,6,57.016,54.761,59.661,61.161,65.761,175.725,0,0,0,,,,36.936,34.681,155.645,
7,22.090,5,0,6,503.029,502.529,505.694,507.194,516.694,531.044,0,0,0,,,,480.939,480.439,508.954,
8,22.850,5,0,6,503.029,502.529,505.694,507.194,516.694,531.044,0,0,0,,,,480.179,479.679,508.194,
9,27.490,7,0,6,84.958,84.458,87.623,89.123,93.723,175.725,1,1,0,,57.468,56.968,57.468,56.968,148.235,
10,32.040,4,0,6,565.210,564.710,567.876,569.376,577.476,590.841,1,1,1,363.254,533.170,532.670,533.170,532.670,558.801,
11,32.150,4,0,6,565.210,564.710,567.876,569.376,577.476,590.841,0,0,0,,,,533.060,532.560,558.691,
12,35.310,9,0,6,57.016,54.761,59.661,61.161,65.761,175.725,0,0,0,,,,21.706,19.451,140.415,
13,38.890,8,0,6,70.977,70.477,73.642,75.142,79.742,175.725,1,1,0,,32.087,31.587,32.087,31.587,136.835,
14,41.410,9,0,6,57.016,54.761,59.661,61.161,65.761,175.725,0,0,0,,,,15.606,13.351,134.315,
15,42.090,4,0,6,565.210,564.710,567.876,569.376,577.476,590.841,0,0,0,,,,523.120,522.620,548.751,
16,50.820,3,0,6,626.022,625.522,628.688,630.188,635.788,648.084,1,1,1,252.602,575.202,574.702,575.202,574.702,597.264,
17,50.980,4,0,6,565.210,564.710,567.876,569.376,577.476,590.841,0,0,0,,,,514.230,513.730,539.861,
18,52.700,2,0,6,685.096,684.596,687.761,689.261,693.861,704.890,1,1,1,154.862,632.396,631.896,632.396,631.896,652.190,
19,55.900,6,0,6,107.506,107.006,110.171,111.671,116.271,175.725,1,1,0,,51.606,51.106,51.606,51.106,119.825,
20,57.000,7,0,6,84.958,84.458,87.623,89.123,93.723,175.725,0,0,0,,,,27.958,27.458,118.725,
21,58.510,4,0,6,565.210,564.710,567.876,569.376,577.476,590.841,0,0,0,,,,506.700,506.200,532.331,
22,62.940,6,0,6,107.506,107.006,110.171,111.671,116.271,175.725,0,0,0,,,,44.566,44.066,112.785,
23,63.050,7,0,6,84.958,84.458,87.623,89.123,93.723,175.725,0,0,0,,,,21.908,21.408,112.675,
24,66.730,6,0,6,107.506,107.006,110.171,111.671,116.271,175.725,0,0,0,,,,40.776,40.276,108.995,
25,71.330,8,0,6,71.330,71.330,73.642,75.142,79.742,175.725,0,0,0,,,,0.000,0.000,104.395,
26,72.580,4,0,6,565.210,564.710,567.876,569.376,577.476,590.841,0,0,0,,,,492.630,492.130,518.261,
27,77.230,4,0,6,565.210,564.710,567.876,569.376,577.476,590.841,0,0,0,,,,487.980,487.480,513.611,
28,80.700,5,0,6,503.029,502.529,505.694,507.194,516.694,531.044,0,0,0,,,,422.329,421.829,450.344,
29,81.110,2,0,6,721.774,720.430,724.419,725.919,735.919,756.782,0,0,1,693.861,,,640.664,639.320,675.672,
30,81.210,5,0,6,503.029,502.529,505.694,507.194,516.694,531.044,0,0,0,,,,421.819,421.319,449.834,
31,81.960,6,0,6,107.506,107.006,110.171,111.671,116.271,175.725,0,0,0,,,,25.546,25.046,93.765,
32,82.440,3,0,6,626.022,625.522,628.688,630.188,635.788,648.084,0,0,0,,,,543.582,543.082,565.644,
33,83.870,5,0,6,503.029,502.529,505.694,507.194,516.694,531.044,0,0,0,,,,419.159,418.659,447.174,
34,85.920,8,0,6,215.390,214.890,218.056,219.556,225.656,264.899,1,1,0,,129.470,128.970,129.470,128.970,178.979,
35,86.320,3,0,6,626.022,625.522,628.688,630.188,635.788,648.084,0,0,0,,,,539.702,539.202,561.764,
36,89.050,9,0,6,199.930,197.675,202.575,204.075,210.175,264.899,1,1,0,,110.880,108.625,110.880,108.625,175.849,
37,89.980,6,0,6,107.506,107.006,110.171,111.671,116.271,175.725,0,0,0,,,,17.526,17.026,85.745,
38,90.650,4,0,6,565.210,564.710,567.876,569.376,577.476,590.841,0,0,0,,,,474.560,474.060,500.191,
39,95.550,3,0,6,626.022,625.522,628.688,630.188,635.788,648.084,0,0,0,,,,530.472,529.972,552.534,
40,96.190,7,0,6,96.190,96.190,96.190,97.690,102.290,175.725,1,1,0,,0.000,0.000,0.000,0.000,79.535,
41,98.800,9,0,6,199.930,197.675,202.575,204.075,210.175,264.899,0,0,0,,,,101.130,98.875,166.099,
42,99.220,8,0,6,215.390,214.890,218.056,219.556,225.656,264.899,0,0,0,,,,116.170,115.670,165.679,
43,103.380,2,0,6,721.774,720.430,724.419,725.919,735.919,756.782,0,0,0,,,,618.394,617.050,653.402,
44,107.160,3,0,6,626.022,625.522,628.688,630.188,635.788,648.084,0,0,0,,,,518.862,518.362,540.924,
45,107.520,2,0,6,721.774,720.430,724.419,725.919,735.919,756.782,0,0,0,,,,614.254,612.910,649.262,
46,110.620,2,0,6,721.774,720.430,724.419,725.919,735.919,756.782,0,0,0,,,,611.154,609.810,646.162,
47,114.560,8,0,6,215.390,214.890,218.056,219.556,225.656,264.899,0,0,0,,,,100.830,100.330,150.339,
48,116.700,9,0,6,199.930,197.675,202.575,204.075,210.175,264.899,0,0,0,,,,83.230,80.975,148.199,
49,120.630,2,0,6,721.774,720.430,724.419,725.919,735.919,756.782,0,0,0,,,,601.144,599.800,636.152,
50,127.090,6,0,6,331.526,331.026,334.192,335.692,340.292,376.620,1,1,0,,204.436,203.936,204.436,203.936,249.530,
51,128.640,1,0,6,771.997,771.497,774.663,776.163,786.163,795.544,1,1,1,747.400,643.357,642.857,643.357,642.857,666.904,
52,131.680,3,0,6,626.022,625.522,628.688,630.188,635.788,648.084,0,0,0,,,,494.342,493.842,516.404,
53,133.830,1,0,6,771.997,771.497,774.663,776.163,786.163,795.544,0,0,0,,,,638.167,637.667,661.714,
