Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,2.600,0,8,3,11.847,10.615,15.444,16.944,21.544,49.879,1,1,0,,9.247,8.015,9.247,8.015,47.279,
2,5.790,6,0,2,64.268,63.768,66.862,68.362,74.962,103.961,1,1,0,,58.478,57.978,58.478,57.978,98.171,
3,7.970,7,6,2,50.305,48.050,52.879,54.379,58.979,68.362,1,1,0,,42.335,40.080,42.335,40.080,60.392,
4,16.940,0,1,3,16.940,16.940,15.444,16.944,21.544,30.927,0,0,0,,,,0.000,0.000,13.987,
5,49.500,5,8,3,99.266,98.766,101.861,103.361,109.961,122.259,1,1,0,,49.766,49.266,49.766,49.266,72.759,
6,50.870,6,0,2,64.268,63.768,66.862,68.362,74.962,103.961,0,0,0,,,,13.398,12.898,53.091,
7,56.960,4,5,3,85.304,82.791,87.878,89.378,93.978,103.361,1,1,0,,28.344,25.831,28.344,25.831,46.401,
8,76.180,2,0,2,84.256,81.743,86.830,88.330,92.930,103.961,1,1,0,,8.076,5.563,8.076,5.563,27.781,
9,93.570,9,0,2,233.370,231.391,235.944,237.444,242.044,285.010,1,1,0,,139.800,137.821,139.800,137.821,191.440,
10,95.640,0,2,3,138.137,135.882,140.711,142.211,152.211,163.242,1,1,0,,42.497,40.242,42.497,40.242,67.602,NULL H 
11,101.990,0,6,3,138.137,135.882,140.711,142.211,152.211,205.339,0,0,0,,,,36.147,33.892,103.349,NULL H 
12,108.210,0,3,3,138.137,135.882,140.711,142.211,152.211,175.725,0,0,0,,,,29.927,27.672,67.515,NULL H 
13,108.820,0,7,3,138.137,135.882,140.711,142.211,152.211,217.322,0,0,0,,,,29.317,27.062,108.502,
14,112.150,0,5,3,138.137,135.882,140.711,142.211,152.211,190.856,0,0,0,,,,25.987,23.732,78.706,
15,112.150,0,5,3,138.137,135.882,140.711,142.211,152.211,190.856,0,0,0,,,,25.987,23.732,78.706,
16,124.430,0,5,3,138.137,135.882,140.711,142.211,152.211,190.856,0,0,0,,,,13.707,11.452,66.426,
17,124.920,0,7,3,138.137,135.882,140.711,142.211,152.211,217.322,0,0,0,,,,13.217,10.962,92.402,
18,131.680,0,5,3,138.137,135.882,140.711,142.211,152.211,190.856,0,0,0,,,,6.457,4.202,59.176,
19,134.340,0,2,3,138.137,135.882,140.711,142.211,152.211,163.242,0,0,0,,,,3.797,1.542,28.902,
20,134.910,0,5,3,138.137,135.882,140.711,142.211,152.211,190.856,0,0,0,,,,3.227,0.972,55.946,
21,136.720,0,3,3,138.137,136.720,140.711,142.211,152.211,175.725,0,0,0,,,,1.417,0.000,39.005,
22,139.100,0,7,3,139.100,139.100,140.711,142.211,152.211,217.322,0,0,0,,,,0.000,0.000,78.222,
23,139.750,0,5,3,139.750,139.750,140.711,142.211,152.211,190.856,0,0,0,,,,0.000,0.000,51.106,
24,140.530,0,3,3,140.530,140.530,140.711,142.211,152.211,175.725,0,0,0,,,,0.000,0.000,35.195,
25,143.100,0,3,3,143.100,143.100,140.711,142.211,152.211,175.725,0,0,0,,,,0.000,0.000,32.625,
26,172.120,9,7,2,233.370,231.391,235.944,237.444,242.044,253.074,0,0,0,,,,61.250,59.271,80.954,
27,174.240,9,0,2,233.370,231.391,235.944,237.444,242.044,285.010,0,0,0,,,,59.130,57.151,110.770,
28,184.260,0,7,3,297.663,297.163,300.258,301.758,311.758,341.241,1,1,0,,113.403,112.903,113.403,112.903,156.981,NULL H 
29,189.010,0,5,3,297.663,297.163,300.258,301.758,311.758,326.110,0,0,0,,,,108.653,108.153,137.100,NULL H 
30,203.640,0,7,3,297.663,297.163,300.258,301.758,311.758,341.241,0,0,0,,,,94.023,93.523,137.601,NULL H 
31,227.780,0,7,3,297.663,297.163,300.258,301.758,311.758,341.241,0,0,0,,,,69.883,69.383,113.461,NULL H 
32,230.190,6,0,2,260.963,260.463,263.558,265.058,269.658,285.010,1,1,0,,30.773,30.273,30.773,30.273,54.820,
33,232.790,0,7,3,297.663,297.163,300.258,301.758,311.758,341.241,0,0,0,,,,64.873,64.373,108.451,NULL H 
34,252.740,0,8,3,297.663,297.163,300.258,301.758,311.758,355.224,0,0,0,,,,44.923,44.423,102.484,NULL H 
35,256.960,0,9,3,297.663,297.163,300.258,301.758,311.758,368.707,0,0,0,,,,40.703,40.203,111.747,NULL H 
36,257.550,0,5,3,297.663,297.163,300.258,301.758,311.758,326.110,0,0,0,,,,40.113,39.613,68.560,NULL H 
37,261.360,0,9,3,297.663,297.163,300.258,301.758,311.758,368.707,0,0,0,,,,36.303,35.803,107.347,NULL H 
38,266.170,0,5,3,297.663,297.163,300.258,301.758,311.758,326.110,0,0,0,,,,31.493,30.993,59.940,NULL H 
